S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f,LLM
事态表明，这些王权政府拥有一种传统权威，是该地区的世俗民族主义统治者所没有的。,事态表明，这些军政府拥有一种传统权威，是该地区的世俗民族主义统治者所没有的。,The situation indicates that these monarchial governments possess a traditional authority that the secular nationalist rulers of the region do not have.,The situation indicates that these military governments possess a traditional authority that the secular nationalist rulers of the region do not have.,0,,,GPT-3.5-turbo-1106
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,而且无论有没有阿萨德的人配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And regardless of whether or not they have the cooperation of Assad's air force, all Syrian people will resist the Islamic State with all their strength.","And regardless of whether or not they have the cooperation of Assad's forces, all Syrian people will resist the Islamic State with all their strength.",0,,,GPT-3.5-turbo-1106
当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一币不能在存在边境控制或多货币的情况下运转。,"Of course, this does not mean that the single market cannot operate in the presence of border controls or multiple currencies.","Of course, this does not mean that the single currency cannot operate in the presence of border controls or multiple currencies.",0,,,GPT-3.5-turbo-1106
对某些参与者来说，与老一辈金融家相比，收藏当代艺术品展示了融资是如何成为更具有创造性的过程。,对某些人来说，与老一辈金融家相比，收藏当代艺术品展示了融资是如何成为更具有创造性的过程。,"For some participants, collecting contemporary art showcases how financing has become a more creative process compared to the older generation of financiers.","For some people, collecting contemporary art showcases how financing has become a more creative process compared to the older generation of financiers.",0,,,GPT-3.5-turbo-1106
一些部门不愿留下大量的遗留问题，因此他们没有预算，而且各部长也不愿同外国公司签署协议。,一些人不愿留下大量的遗留问题，因此他们没有预算，而且各部长也不愿同外国公司签署协议。,"Some departments are not willing to leave behind a large number of legacy issues, so they do not have a budget, and the ministers are also unwilling to sign agreements with foreign companies.","Some people are not willing to leave behind a large number of legacy issues, so they do not have a budget, and the ministers are also unwilling to sign agreements with foreign companies.",0,,,GPT-3.5-turbo-1106
甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的党。,"Even before Bush took office, they were advocating for the overthrow of Saddam Hussein, and after 9/11, they dragged Bush into their own cause.","Even before Bush took office, they were advocating for the overthrow of Saddam Hussein, and after 9/11, they pulled Bush into their own party.",0,,,GPT-3.5-turbo-1106
新一代药理学向实现这一目标迈出了充满希望的一步。,新一代人向实现这一目标迈出了充满希望的一步。,The new generation of pharmacology has taken a hopeful step towards achieving this goal.,The new generation has taken a hopeful step towards achieving this goal.,0,,,GPT-3.5-turbo-1106
这一单位只不过是一个消费者物价指数，名称简单，每天公布，这样人们就可以使用这一单位及名称来以实际价格报价。,这一点只不过是一个消费者物价指数，名称简单，每天公布，这样人们就可以使用这一单位及名称来以实际价格报价。,"This unit is nothing more than a consumer price index, with a simple name, published daily so that people can use this unit and name to quote actual prices.","This is just a consumer price index, with a simple name, published daily so that people can use this unit and name to quote actual prices.",0,,,GPT-3.5-turbo-1106
这是一种其中通过克隆出原有产品的虚拟单位，从现有的房贷证券中衍生出来的复杂组合证券产品。,这是一种其中通过克隆出新产品的虚拟单位，从现有的房贷证券中衍生出来的复杂组合证券产品。,"This is a complex derivative security product derived from existing mortgage-backed securities, in which the original products are cloned into virtual units.","This is a complex derivative security product derived from existing mortgage-backed securities, in which new products are cloned into virtual units.",0,,,GPT-3.5-turbo-1106
美国房产价格同样也以加速度下降，在许多地区每年下降超过10%。,美国油价格同样也以加速度下降，在许多地区每年下降超过10%。,"The property prices in the United States are also declining at an accelerating rate, with decreases of over 10% in many areas each year.","The oil prices in the United States are also declining at an accelerating rate, with decreases of over 10% in many areas each year.",0,,,GPT-3.5-turbo-1106
