S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.","In the brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",在这部简短的电影中，我们简要介绍了20多岁的中国人的心态，他们热爱夜生活，但一心想保持身体健康，包括外表，即使他们在两端燃烧蜡烛。,在短片中，我们看到了20多岁的中国人的心态，他们热爱夜生活，但一心想保持身体健康，包括外表，即使他们在两端燃烧蜡烛。,True,
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver Condon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",奥利弗·西登在与已经在该行业工作的朋友和家人一起工作后，通过慈善机构NowTeach进入教学领域，并在三月份失去工作后。,奥利弗·康登在与已经在该行业工作的朋友和家人一起工作后，在三月份失去工作后，通过慈善机构NowTeach进入了教学领域。,,
"Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a range of symptoms , from no signs of illness at all to severe problems , such as pneumonia.","Mink , like their close relatives , ferrets , are known to be susceptible to coronavirus , and like humans , they can show a variety of symptoms , from no signs of illness at all to severe problems , such as pneumonia.",水貂和牠们的近亲雪貂一样，对冠状病毒易感，和人类一样，牠们可以表现出一系列的症状，从完全没有疾病迹象到严重的问题，如肺炎。,水貂和牠们的近亲雪貂一样，已知易感染冠状病毒，和人类一样，牠们可以表现出各种症状，从完全没有疾病迹象到严重的问题，如肺炎。,True,
Those are the things that he brings and trying to negate that is difficult because he is a relatively resilient character who will continue to bring that irrespective of how the game ' s going for them.,These are the things that he brings and trying to negate that is difficult because he is a relatively resilient character who will continue to bring that irrespective of how the game ' s going for them.,这些是他带来的东西，试图否定这一点是很困难的，因为他是一个相对有弹性的角色，无论比赛如何，他都会继续带来这些。,这些是他带来的东西，试图否定这一点是很困难的，因为他是一个相对有弹性的角色，无论比赛如何发展，他都会继续带来这些。,True,
"Despite being a veteran actor of the traditional Xianzi dance , 58 - year - old Tashi Wangdu had never until then staged a performance in front of a big audience.","Despite being a veteran actor of the traditional Jianzi dance , 58 - year - old Tashi Wangdu had never until then staged a performance in front of a big audience.",尽管58岁的扎西旺都是一位资深的仙子舞演员，但在此之前从未在众多观众面前表演过。,尽管58岁的扎西旺都是一位资深的传统剑子舞演员，但在此之前，他从未在众多观众面前表演过。,True,
"According to this year ' s US - China business council member survey , nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.","According to this year ' s US - China business council member survey , approximately 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.",根据今年的美中贸易全国委员会成员调查，近83%的受访公司将中国列为其全球战略的五大优先事项之一。,根据今年的美中贸易全国委员会成员调查，大约83%的受访公司将中国视为其全球战略的五大优先事项。,True,
"When he decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.","When Chan decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.",当他决定发行今年的第一首新单曲时，陈想分享他对受到病毒爆发影响的经历的感受，最重要的是，告诉人们你并不孤单。,当成龙决定发行今年的第一首新单曲时，陈想分享他受到病毒爆发影响的经历，最重要的是，告诉人们你并不孤单。,True,
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,We have always been clear that we keep such measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直很清楚，我们会不断审查这些措施，因此它们不必超过必要的时间。,我们一直明确表示，我们会不断审查这些措施，因此它们不必超过必要的时间。,True,
"It might be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.","It may be said that the great writers of each generation have not only succeeded in evoking a place or people , but also found a distinctive , previously unheard voice through which to do so.",可以说，每一代的伟大作家不仅成功地唤起了一个地方或民族，而且还找到了一种独特的、以前闻所未闻的声音来唤起人们的这种声音。,可以说，每一代的伟大作家不仅成功地唤起了一个地方或民族，而且还找到了一种独特的、以前闻所未闻的声音来做到这一点。,True,
"However , despite missing the usual cheers of approval from the stands , the Chinese skaters were buoyed to compete in their first proper competition this year and get a good idea of how their preparations for the 2022 Winter Olympics are progressing.","However , despite missing the usual cheers of approval from the stands , the Chinese skaters were buoyed to compete in their first proper competition this year and get a good idea of how their preparations for the 2022 Winter Olympics were progressing.",然而，尽管错过了看台上通常的欢呼声，中国滑冰运动员还是被鼓舞地参加了今年的第一次正式比赛，并很好地了解了他们为2022年冬季奥运会做准备的情况。,然而，尽管没有看到看台上通常的欢呼声，中国滑冰运动员还是被鼓舞地参加了今年的第一次正式比赛，并很好地了解了他们为2022年冬季奥运会做准备的情况。,True,
