S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"When he decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.","When Chan decided to release his first new single of this year , Chan wanted to share his feelings about the experience of being affected by the viral outbreak and most importantly , to tell people that you are not alone.",当陈可辛决定在今年发布他的第一首新单曲时，他想分享他受病毒爆发影响的经历，最重要的是，告诉人们你并不孤单。,当成龙决定在今年发布他的第一首新单曲时，他想分享他受病毒爆发影响的经历，最重要的是，他想告诉人们，你并不孤单。,True,
"At some point last month , during my sixth episode of going RV of the day , I knew I wouldd fallen too deep.","At some point last month , during my second episode of going RV of the day , I knew I wouldd fallen too deep.",上个月的某个时候，在我第六次乘坐房车的时候，我知道我会陷得太深。,上个月的某个时候，在我第二次开房车的时候，我知道我会陷得太深。,True,
This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a momentous task in a short period of time.,This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a momentous task within a short period of time.,这归功于我们县和地方选举官员的辛勤工作，他们迅速行动起来，在短时间内承担并完成了如此重大的任务。,这归功于我们县和地方选举官员的辛勤工作，他们迅速采取行动，在短时间内完成了如此重大的任务。,,
Those who have previously visited the Schengen area and have a positive visa history will be granted the opportunity to have a multiple - entry visa valid for up to five years.,Those who have previously visited the Schengen area and have a positive visa history can be granted the opportunity to have a multiple - entry visa valid for up to five years.,那些曾经访问过申根地区并有良好签证历史的人将有机会获得有效期最长为5年的多次往返签证。,那些曾经访问过申根地区并有良好签证历史的人可以获得有效期最长为5年的多次往返签证。,True,
The results are only representative of nine marine corps recruit classes and more research is needed to determine whether similar findings would emerge among other groups of young recruits.,The results are only representative of nine marine corps recruit classes but more research is needed to determine whether similar findings would emerge among other groups of young recruits.,该结果仅代表了海军陆战队9个新兵班级，还需要更多的研究来确定是否在其他年轻新兵群体中也会出现类似的结果。,这一结果仅代表了海军陆战队9个新兵群体，但还需要更多的研究来确定是否在其他年轻新兵群体中也会出现类似的结果。,True,
"The restoration work on relocated frescos and colored statues from the Tianti Mountain Grottoes , some of China ' s largest , has been completed local authorities said on Friday.","The renovation work on relocated frescos and colored statues from the Tianti Mountain Grottoes , some of China ' s largest , has been completed local authorities said on Friday.",当地政府周五表示，中国最大的石窟之一天anti山石窟的壁画和彩色雕像的修复工作已经完成。,周五，当地政府表示，中国最大的石窟之一天地山石窟的壁画和彩色雕像的修复工作已经完成。,True,
The beauty of the fact that Lando streams online means fans see him in his bedroom and they have that close affiliation to him.,The beauty of the fact that Lando streams online means fans see him from his bedroom and they have that close affiliation to him.,兰多在线直播的美妙之处在于，粉丝们在他的卧室里看到他，他们与他有密切的联系。,兰多在线直播这一事实的美妙之处在于，粉丝们可以从他的卧室看到他，他们与他有着密切的联系。,True,
"It also mentions that the year marks the 20th anniversary of SCO , and activities like art exhibitions , film festivals , student football tournament and boxing tournament will be held in member countries.","It further mentions that the year marks the 20th anniversary of SCO , and activities like art exhibitions , film festivals , student football tournament and boxing tournament will be held in member countries.",文件还提到，今年是上海合作组织成立20周年，将在成员国举办艺术展览、电影节、学生足球锦标赛、拳击锦标赛等活动。,今年是上海合作组织成立20周年，将在成员国举办艺术展览、电影节、学生足球锦标赛、拳击锦标赛等活动。,True,
"Groups of friends and families are major forces behind preparing for the holiday , as college students account for a diminishing proportion.","Communities of friends and families are major forces behind preparing for the holiday , as college students account for a diminishing proportion.",朋友和家人是筹备假期的主要力量，而大学生所占的比例正在下降。,朋友和家人是筹备春节的主要力量，而大学生所占的比例正在下降。,True,
"For this reason sculptor Wu Weishan has centered his work around depicting prominent figures in Chinese history , especially the intellectuals , for several decades.","For that reason sculptor Wu Weishan has centered his work around depicting prominent figures in Chinese history , especially the intellectuals , for several decades.",因此，几十年来，雕塑家吴伟山一直以描绘中国历史上的杰出人物，尤其是知识分子为中心。,因此，几十年来，雕塑家吴伟山的作品一直围绕着描绘中国历史上的杰出人物，尤其是知识分子。,True,
