S_s,S_f,T_s,T_f,Limitation-A,Limitation-text
"With earlier doubts and fears now all but dissipated , she now felt at ease with minor plastic surgery , she says , and acknowledges that it had become more addictive.","Her earlier doubts and fears now all but dissipated , she now felt at ease with minor plastic surgery , she says , and acknowledges that it had become more addictive.",她说，随着早先的怀疑和恐惧现在几乎烟消云散，她现在对小型整形手术感到轻松，并承认整容变得更上瘾了。,她说，她以前的怀疑和恐惧现在都烟消云散了，她现在对小型整形手术感到轻松自在，并承认整容变得更上瘾了。,,True
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that way and of course that is one of the advantages to tourists that we are doing everything to make tourism safe and secure.,我们非常致力于以这种方式运营，当然，这是我们对游客的优势之一，我们正在尽一切努力确保旅游业的安全。,我们非常致力于以这种方式运营，当然这对游客来说是一个优势，我们正在尽一切努力使旅游业安全可靠。,,True
"International table tennis events restarted in China , which not only responds to the expectations of table tennis fans around the world , but also provides a good opportunity to show the achievements of China ' s epidemic prevention and control to the world.","Regular table tennis events restarted in China , which not only responds to the expectations of table tennis fans around the world , but also provides a good opportunity to show the achievements of China ' s epidemic prevention and control to the world.",国际乒乓球赛事在中国重启，不仅回应了世界乒乓球迷的期待，也为向世界展示中国疫情防控成果提供了良好契机。,乒乓球常规赛事在中国重启，不仅回应了世界乒乓球爱好者的期待，也为向世界展示中国疫情防控成果提供了良好契机。,,True
I put in a lot for this race and to have it all come together and have the race of my life that was just a dream come true.,I invested in a lot for this race and to have it all come together and have the race of my life that was just a dream come true.,我为这场比赛付出了很多，现在我把所有的一切都聚集在一起，让我生命中的比赛成为现实，这只是一个梦想。,为了这场比赛，我投入了很多，我想把所有的一切都放在一起，让我生命中的比赛成为现实，这只是一个梦想。,True,True
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,We have always been clear that we keep such measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直清楚地表明，我们会不断审查这些措施，因此这些措施的实施时间不会超过必要的时间。,我们一直清楚地表明，我们不断审查这些措施，因此它们的实施时间不必超过必要的时间。,,
"To reach the heart of Rovaniemi , Finland , step away from the city center and into the quiet of the forest , where you rule.","To enter the heart of Rovaniemi , Finland , step away from the city center and into the quiet of the forest , where you rule.",要到达芬兰罗瓦涅米的中心，请离开市中心，进入安静的森林，在那里你可以统治。,要进入芬兰罗瓦涅米的心脏地带，请离开市中心，进入安静的森林，在这里你可以统治。,,True
"The NAO concluded that in cases of potential conflicts of interest involving ministers , all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.","The TAO concluded that in cases of potential conflicts of interest involving ministers , all had properly declared their interests and it found no evidence of their involvement in procurement decisions or project management.",审计署的结论是，在涉及部长的潜在利益冲突的案例中，所有人都正确地宣布了他们的利益，并且没有发现他们参与采购决策或项目管理的证据。,监察部的结论是，在涉及部长的潜在利益冲突案件中，所有人都适当地宣布了他们的利益，并且没有发现他们参与采购决策或项目管理的证据。,,True
President Trump says he feels good after testing positive for hiv weeks ago and couldn ' t recall whether he was tested on the day of the first presidential debate.,President Obama says he feels good after testing positive for hiv weeks ago and couldn ' t recall whether he was tested on the day of the first presidential debate.,特朗普总统表示，几周前他的艾滋病毒检测呈阳性，他感觉良好，不记得自己是否在第一次总统辩论当天进行了检测。,奥巴马总统说，他在几周前检测出艾滋病病毒呈阳性后感觉良好，不记得他是否在第一次总统辩论当天进行了检测。,True,True
"In the third round , Zhang swarmed him with a series of lefts to the head , which sent the American to the canvas after just 49 seconds.","In the fourth round , Zhang swarmed him with a series of lefts to the head , which sent the American to the canvas after just 49 seconds.",在第三轮比赛中，张继科用一连串的左拳击中他的头部，将这位美国选手击倒在地，比赛仅进行了49秒。,在第四轮比赛中，张继科一连串的左拳击中他的头部，将这位美国选手击倒在地，比赛仅进行了49秒。,,
"Businesses borrowing from banks will leap more than fivefold in 2020 compared to last year , according to forbes from the EY Item Club.","Businesses borrowing from banks would leap more than fivefold in 2020 compared to last year , according to forbes from the EY Item Club.",安永项目俱乐部的《福布斯》称，到2020年，企业从银行贷款的规模将比去年增长5倍以上。,安永项目俱乐部的《福布斯》称，2020年企业向银行借款将比去年增长5倍以上。,,True
