S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"Despite being a veteran actor of the traditional folk dance, 58-year-old Tashi Wangdu had never staged a performance in front of a big audience.","Despite being a veteran actor of the traditional folk dance, 58-year-old Tashi Wangdu had never until recently staged a performance in front of a big audience.",58岁的扎西旺都虽然是传统民间舞蹈的资深演员，但从未在大观众面前表演过。,58 岁的扎西旺都虽然是传统民间舞蹈的资深演员，但直到最近才在众多观众面前进行过表演。,,True
Children's books are seeing a heyday in China as young adult appetite for books has grown significantly over the years.,"Children's books are seeing a heyday in China as young adult appetite for books has grown significantly over the years, which has attracted publishers from around the world seeking to capture a slice of the bullish market.",多年来，随着年轻成人对书籍的需求显着增长，儿童图书在中国正处于鼎盛时期。,儿童图书在中国正处于鼎盛时期，因为这些年来年轻人对图书的需求显着增长，这吸引了来自世界各地的出版商寻求在这个看涨的市场中分一杯羹。,,True
Chappelle said Trump's special treatment while he was ill was like delivering a bag of burgers to a homeless shelter.,"Chappelle said Trump's special treatment while he was ill was like delivering a bag of burgers to a homeless shelter, eating them in front of the homeless and saying.",Chappelle 说，特朗普在生病期间的特殊待遇就像是将一袋汉堡送到无家可归者收容所。,查佩尔说，特朗普生病期间的特殊待遇就像是把一袋汉堡包送到流浪者收容所，当着流浪者的面吃着，然后说。,,True
"While this year's program will be different than those of years past, we look forward to recognizing their impact on the industry.","While this year's program will be different than those of years past, we look forward to recognizing their impact on the industry, their fans and the next generation of artists.",尽管今年的计划与往年有所不同，但我们期待认识到它们对行业的影响。,尽管今年的节目与往年有所不同，但我们期待认识到他们对行业、粉丝和下一代艺术家的影响。,,True
"When he decided to release his first new single of this year, Chan wanted to share his feelings about the experience of being infected by the viral outbreak and most importantly.","When he decided to release his first new single of this year, Chan wanted to share his feelings about the experience of being infected by the viral outbreak and most importantly, to show people that you are not alone.",当他决定发行他今年的第一首新单曲时，Chan 想分享他被病毒爆发感染的经历，最重要的是。,当他决定发行他今年的第一首新单曲时，陈想分享他被病毒爆发感染的经历，最重要的是，向人们展示你并不孤单。,,True
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer.,We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直很清楚，我们会不断审查这些措施，这样它们就不必再存在了。,我们一直很清楚，我们会不断审查这些措施，因此它们的实施时间不会超过必要的时间。,True,
"However, despite missing the usual cheers of approval from the stands, the Chinese skaters were buoyed to compete in their first proper competition this year.","However, despite missing the usual cheers of approval from the stands, the Chinese skaters were buoyed to compete in their first proper competition this year and have a better idea of how their preparations for the 2022 Winter Olympics are progressing.",然而，尽管看台上没有像往常一样的欢呼声，但中国滑冰运动员们还是很高兴参加今年的第一场正式比赛。,然而，尽管没有像往常一样从看台上获得赞许的欢呼声，但中国滑冰运动员们为参加今年的第一场正式比赛而感到振奋，并对他们 2022 年冬季奥运会的准备工作进展情况有了更好的了解。,True,
"After four years of living in Berlin, I have learned to embrace Germany’s anything-goes sprit and more casual approach to nudity.","After four years of living in Berlin, I have learned to embrace Germany’s anything-goes sprit and more casual approach to nudity than where I grew up in the Midwestern US.",在柏林生活了四年后，我学会了接受德国随心所欲的精神和更随意的裸体方式。,在柏林生活了四年后，我学会了拥抱德国无所不能的精神和比我在美国中西部长大的地方更随意的裸体方式。,,True
"Also, I watch a great deal of television for my job covering entertainment, especially during Emmy season.","Also, I watch a great deal of television for my job covering entertainment, especially during Emmy season, when I have a long list of must-watch prestige programming.",此外，为了我的娱乐工作，我会看很多电视，尤其是在艾美奖颁奖季。,此外，为了我的工作，我会看很多电视节目，包括娱乐节目，尤其是在艾美奖颁奖季，那时我有一长串必看的知名节目。,True,
They also want eligibility criteria reviewed to help those who have been singled out of support.,They also want eligibility criteria reviewed to help those who have been singled out of support so far.,他们还希望审查资格标准，以帮助那些被单挑出来失去支持的人。,他们还希望审查资格标准，以帮助那些迄今被选出支持的人。,True,
