S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year.,"New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year, analysts said ahead of the election on Saturday.",新西兰的选举几乎不会改变该国与中国历史上的主要进程，尽管这一年中有一些充满挑战的时刻。,分析人士在周六的选举前表示，尽管新西兰在这一年中遇到了一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国的主要历史进程。,,
"With the doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she thought.","With the doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she thought, and acknowledges that it had been somewhat addictive.",她想，现在疑虑和恐惧几乎都烟消云散了，她现在可以放心地进行小整容手术了。,现在疑虑和恐惧几乎都烟消云散了，她现在对小整形手术感到很自在，她想，并承认这有点让人上瘾。,,
"We fought an excellent first half with good execution and defense, but we failed to enlarge the advantage during the rest of the game and made a few errors before the buzzer.","We fought an excellent first half with good execution and defense, but we failed to enlarge the advantage during the rest of the game and made a few errors before the buzzer, which raised alarm bells for us.",上半场我们打得非常出色，执行力和防守都很好，但我们在余下的比赛中未能扩大优势，在压哨前出现了一些失误。,上半场我们打得非常出色，执行力和防守都很好，但在接下来的比赛中我们未能扩大优势，并且在压哨前出现了几次失误，这给我们敲响了警钟。,,
"She said the league has made minor adjustments to prioritize safety such as removing punt returns, interceptions and kick returns from the game.","She said the league has made minor adjustments to prioritize safety such as removing punt returns, interceptions and kick returns from the game to limit plays that can often result in injuries.",她说联盟已经做了一些小的调整来优先考虑安全，例如从比赛中删除弃踢回击、拦截和回踢。,她说，联盟已经进行了一些小的调整，以优先考虑安全问题，例如从比赛中取消弃踢回击、拦截和回踢，以限制经常导致受伤的比赛。,,
Raven can be seen in the video as one member of the older couple.,Raven can be seen in the video as one member of the older couple who embrace on the beach as water is pouring into their cabin.,在视频中可以看到乌鸦是这对年长夫妇中的一员。,在视频中可以看到乌鸦是老夫妇中的一员，他们在海滩上拥抱，因为水正涌入他们的小屋。,,
"In the fruit, as well as being attacked by the fungus, the holes and spaces formed by the voracious fungi can invite secondary pathogens into the tomato.","In the fruit, as well as being attacked by the fungus, the holes and spaces formed by the voracious fungi can invite secondary pathogens into the tomato, causing it to rot.",在果实中，除了受到真菌的侵袭外，贪婪的真菌形成的孔洞和空间还会将次级病原体引入番茄。,在果实中，除了受到真菌的侵袭外，贪婪的真菌形成的孔洞和空间还会将次生病原体引入番茄，导致番茄腐烂。,,
"In the end, the locals agree to work with her in growing tea and selling the products on online platforms.","In the end, the locals agree to work with her in growing tea and selling the products on online platforms, which leads the village out of poverty.",最终，当地人同意与她合作种植茶叶并在网络平台上销售产品。,最终，当地人同意与她一起种茶，并在网上平台上销售产品，带领村子摆脱了贫困。,,
"Businesses borrowing from banks will leap more than fivefold in 2020 compared to last decade, according to bloomberg.","Businesses borrowing from banks will leap more than fivefold in 2020 compared to last decade, according to bloomberg from the EY Item Club.",据彭博社报道，到 2020 年，与过去十年相比，企业从银行借款的数量将增长五倍以上。,据 EY Item Club 的彭博社称，到 2020 年，企业从银行借款的数量将比过去十年增长五倍以上。,,
"That is, despite the oceans involved, an Irish accent often shares more similar features to an American one.","That is, despite the oceans involved, an Irish accent often shares more similar features to an American one than it does to the English.",也就是说，尽管涉及海洋，但爱尔兰口音通常与美国口音具有更多相似的特征。,也就是说，尽管涉及海洋，但爱尔兰口音与美国口音的相似之处往往多于与英国口音的相似之处。,,
"Romanelli, who has spent six years living in China, attributed this exceptional performance in part to the government's comprehensive approach to public health measures.","Romanelli, who has spent six years living in China, attributed this exceptional performance in part to the government's comprehensive approach to public health measures and policies that protect business and foreign investment.",在中国生活了六年的罗曼内利将这一出色表现部分归功于政府对公共卫生措施采取的综合方法。,在中国生活了六年的罗曼内利将这一出色表现部分归功于政府采取全面的公共卫生措施和保护企业和外国投资的政策。,,
"It also means that elective surgeries are being put off for things like hip cancer, for breast surgery.","It also means that elective surgeries are being put off for things like hip cancer, for breast surgery or prostate surgery in some cases.",这也意味着择期手术被推迟，比如髋癌、乳房手术。,这也意味着在某些情况下，诸如髋关节癌、乳房手术或前列腺手术等疾病的择期手术被推迟。,,
"In recent years, an increasing number of food writers and artists have been modernizing Chinese cooking while looking deeper into its origins.","In recent years, an increasing number of food writers and artists have been modernizing Chinese cooking while looking deeper into its origins, especially wok hei.",近年来，越来越多的美食作家和艺术家在深入研究其起源的同时，也在推动中国烹饪的现代化。,近年来，越来越多的美食作家和艺术家在更深入地研究其起源的同时使中国烹饪现代化，尤其是炒锅。,,
Borrowers who have not yet had a bank holiday can request from their lender a pause in payments.,"Borrowers who have not yet had a bank holiday can request from their lender a pause in payments, that can last up to six months.",还没有银行假期的借款人可以向他们的贷方请求暂停付款。,尚未享受银行假期的借款人可以向贷方请求暂停还款，最长可以持续六个月。,,
"Bairstow, who has represented England in every aspect of the game, has been recently playing in the Indian Premier League.","Bairstow, who has represented England in every aspect of the game, has been recently playing in the Indian Premier League with Sunrisers hyderabad.",曾代表英格兰队参加过各项比赛的贝尔斯托最近一直在征战印度超级联赛。,贝尔斯托代表英格兰参加了比赛的各个方面，最近一直在与海得拉巴日出队一起参加印度超级联赛。,,
"Trump has continued his attacks on mail-in ballots, claiming he would deploy lawyers if states are still counting votes.","Trump has continued his attacks on mail-in ballots, claiming he would deploy lawyers if states are still counting votes after Election day.",特朗普继续攻击邮寄选票，声称如果各州仍在计票，他将部署律师。,特朗普继续攻击邮寄选票，声称如果各州在选举日之后仍在计票，他将派遣律师。,,
Trump extended the invitation on Thursday morning to the Michigan lawmakers by calling the state senate Republican majority leader.,"Trump extended the invitation on Thursday morning to the Michigan lawmakers by calling the state senate Republican majority leader, the one familiar said.",周四上午，特朗普致电州参议院共和党多数党领袖，向密歇根州议员发出了邀请。,一位知情人士说，特朗普周四上午致电州参议院共和党多数党领袖，向密歇根州立法者发出了邀请。,,
