S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March.,The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March as compared with the early days of the COVID-19 program.,自3月中旬以来，在该地区的酒吧和餐馆入住的游客数量也大幅增长。,从3月中旬开始，在湖区的酒吧和餐厅入住的游客人数也比新冠疫情实施初期大幅增加。,True,
"Models of our scientists suggest that unless we leave now, we could see deaths over the winter.","Models of our scientists suggest that unless we leave now, we could see deaths over the winter that are either as bad or more compared with the first wave.",科学家们的模型表明，除非我们现在离开，否则我们将在冬天看到死亡。,科学家们的模型表明，除非我们现在就离开，否则整个冬季的死亡人数可能与第一波疫情一样严重，甚至更多。,,True
"China is a country that is in most jeopardy from invasive alien species-ones that are introduced, accidentally or intentionally, outside of their natural native range.","China is a country that is in most jeopardy from invasive alien species-ones that are introduced, accidentally or intentionally, outside of their natural native range and which become problematic.",中国是一个最容易受到外来入侵物种威胁的国家，外来入侵物种是指那些被无意或有意地引入其自然生长范围之外的物种。,中国是一个受外来入侵物种威胁最严重的国家，外来入侵物种是指无意或有意地从它们的自然生长范围之外引入的物种，这些物种会成为问题。,,True
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer.,We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直明确表示，我们将不断审查这些措施，因此它们不必再继续存在下去。,我们一直清楚地表明，我们会不断审查这些措施，因此这些措施的实施时间不会超过必要的时间。,True,
There were times I could just hear the echo of my footsteps out there.,There were times I could just hear the echo of my footsteps out there because I was running completely blind.,有时候我都能听到自己的脚步声。,有时我只能听到我的脚步声的回声，因为我完全是瞎跑的。,True,
"She said the league has made minor adjustments to prioritize safety such as removing punt returns, interceptions and kick returns from the game.","She said the league has made minor adjustments to prioritize safety such as removing punt returns, interceptions and kick returns from the game to limit plays that can often result in injuries.",她说，联盟已经做了一些小的调整，以优先考虑安全，比如从比赛中取消了踢回、拦截和踢回。,她说，联盟已经做了一些小的调整，以优先考虑安全，比如取消比赛中的顶球回球、拦截和踢回球，以限制经常会导致受伤的比赛。,,True
Raven can be seen in the video as one member of the older couple.,Raven can be seen in the video as one member of the older couple who embrace on the beach as water is pouring into their cabin.,在视频中可以看到Raven是这对老夫妇中的一员。,在视频中，可以看到乌鸦是这对老夫妇中的一员，他们在海滩上拥抱，当时海水涌入他们的小屋。,,True
"For centuries, literary writing was composed in the classical style, or wenyanwen, which had a different syntactical structure from spoken speech and held strong references to ancient tropes and stories.","For centuries, literary writing was composed in the classical style, or wenyanwen, which had a different syntactical structure from spoken speech and held strong references to ancient tropes and stories, making it illegible for someone without formal education.",几个世纪以来，文学作品都是用文言文写成的，文言文的句法结构与口语不同，并强烈引用了古代的比喻和故事。,几个世纪以来，文学作品都是用文言文写成的，文言文的句法结构与口语不同，大量引用了古代的比喻和故事，这对没有受过正规教育的人来说是难以辨认的。,,True
They also want eligibility criteria reviewed to help those who have been singled out of support.,They also want eligibility criteria reviewed to help those who have been singled out of support so far.,他们还希望重新审查资格标准，以帮助那些被排除在外的人。,他们还希望重新审查资格标准，以帮助那些迄今为止被排除在支持之外的人。,True,
"Some have called for more pragmatism, arguing a shorter isolation will be more effective in controlling the spread of the virus.","Some have called for more pragmatism, arguing a shorter isolation will be more effective in controlling the spread of the virus because of the compliance.",一些人呼吁更加务实，认为较短的隔离时间将更有效地控制病毒的传播。,一些人呼吁采取更加务实的态度，认为由于各方都遵守了规定，缩短隔离时间将更有效地控制病毒的传播。,True,
