S_s,S_f,T_s,T_f,Limitation-B,Limitation-structure
"While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art.","While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that students often request by name.",在她这个年纪，有些人已经被现代科技抛在了后面，而陈光标却成功地进入了当代艺术的世界。,在她这个年纪，有些人已经被现代科技抛在了后面，而陈却成功地进入了当代艺术的世界，成为了UCCA的一名讲解员，这是学生们经常点名要求的。,,
New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year.,"New Zealand's election will hardly change the main course of the country's history with China despite some challenging moments during the year, analysts said ahead of the election on Saturday.",尽管今年出现了一些具有挑战性的时刻，但新西兰大选很难改变新西兰与中国历史的主线。,分析人士在周六大选前表示，尽管今年出现了一些具有挑战性的时刻，但新西兰大选几乎不会改变该国与中国历史的主要进程。,,
"Mink, like their close relatives, ferrets, are known to be susceptible to coronavirus, and like humans, they can show a variety of symptoms, from no signs of infection at all to severe problems.","Mink, like their close relatives, ferrets, are known to be susceptible to coronavirus, and like humans, they can show a variety of symptoms, from no signs of infection at all to severe problems, such as blindness.",貂和它们的近亲雪貂一样，都被认为是易受冠状病毒感染的，而且和人类一样，它们也会表现出各种各样的症状，从完全没有感染迹象到出现严重问题。,貂和它们的近亲雪貂一样，都被认为是易感染冠状病毒的，而且和人类一样，它们也会表现出各种各样的症状，从完全没有感染迹象到失明等严重问题。,,
"Kraisorn said a small number of Chinese people prefer to eat durians that are small in size, with smooth and creamy flesh.","Kraisorn said a small number of Chinese people prefer to eat durians that are small in size, with smooth and creamy flesh, and with a smell that is not as strong as larger durian varieties.",克拉森说，有一小部分中国人喜欢吃体积小、果肉滑滑的榴莲。,克拉森说，一小部分中国人喜欢吃体积小、果肉柔滑、味道不像大榴莲品种那么浓烈的榴莲。,,
"He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on.","He will have down times, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he's different again.",他会有低落的时候，他会有奇怪的灾难，但我的天哪，高潮完全弥补了这些，因为当他上场的时候。,他会有低落的时候，他会有奇怪的灾难，但我的天哪，兴奋的时候完全弥补了这些，因为当他上场的时候，他又变了。,,
"With the doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she thought.","With the doubts and fears now all but dissipated, she now felt at ease with minor plastic surgery, she thought, and acknowledges that it had been somewhat addictive.",现在疑虑和恐惧几乎都消散了，她想，她现在可以放心地做个小整形手术了。,现在，疑虑和恐惧几乎都烟消云散了，她想，她现在可以轻松地做小整形手术了，并承认手术有点上瘾。,,
"It’s a way of portraying these nations as forces for good in the world, rather than necessarily interrogating the parts of the history.","It’s a way of portraying these nations as forces for good in the world, rather than necessarily interrogating the parts of the history which makes them something very different.",这是一种将这些国家描绘成世界上正义力量的方式，而不是对历史的部分进行质询。,这是一种将这些国家描绘成世界上向善的力量的方式，而不是一定要质问历史的一部分，这使得他们变得非常不同。,,
"While nudity in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn’t uncommon.","While nudity in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn’t uncommon in certain everyday situations.",在美国主流文化中，裸体通常被认为是性感的，但在德国，脱光衣服并不罕见。,在美国主流文化中，裸体通常被认为是与性有关的，而在德国，脱光衣服在某些日常情况下并不罕见。,,
"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a series of exclusive offers and other outdoor initiatives, while also ensuring strict conservation measures are in place.","The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a series of exclusive offers and other outdoor initiatives, while also ensuring strict conservation measures are in place to protect their health.",新恢复活力的海洋公园通过一系列独家优惠和其他户外活动，让游客可以放松身心，接近大自然，同时确保严格的保护措施到位。,新恢复活力的海洋公园为游客提供了一系列独家优惠和其他户外活动，让他们可以放松身心，接近大自然，同时也确保了严格的保护措施，以保护他们的健康。,,
The low prize money on offer at smaller tournaments and high costs mean players often live hand to mouth.,The low prize money on offer at smaller tournaments and high costs mean players in the top 100 often live hand to mouth.,小型锦标赛的奖金低，成本高，这意味着球员们的生活通常只能勉强糊口。,小型锦标赛的低奖金和高昂的成本意味着排名前100的选手通常只能勉强糊口。,,
"The director not only focuses on the crime, but also displays the light and warm side of humanity.","The director not only focuses on the crime, but also displays the light and warm side of humanity, primarily through a conversation between the protagonist and his former schoolmate.",导演在聚焦犯罪的同时，也展现了人性中光明和温暖的一面。,导演不仅关注犯罪，还通过主人公和前同学的对话，展现了人性中光明和温暖的一面。,,
