S_s,S_f,T_s,T_f,Limitation-C,Limitation-text
"Just as hopes of reaching survivors began to fade, rescuers pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.","Just as hopes of reaching survivors began to fade, jim pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.",就在接近幸存者的希望开始消退时，救援人员在强烈地震发生四天后的星期二，从一栋倒塌的公寓楼的废墟中救出一名年轻女孩。,就在找到幸存者的希望开始消退时，吉姆在强烈地震发生四天后的星期二，从一栋倒塌的公寓楼的废墟中活着救出了一个年轻女孩。,True,
He thinks the pandemic has been a shot of adrenaline for a technology that to date had not yet really arrived.,He thinks the body has been a shot of adrenaline for a technology that to date had not yet really arrived.,他认为，对于一项迄今为止尚未真正到来的技术来说，大流行是一剂肾上腺素飙升的疫苗。,他认为身体是肾上腺素的注射，迄今为止尚未真正到来的技术。,True,
"He emphasizes that this year, with the support of the provincial sports bureau and the local governments, they finally tore down a collective barn and made room for the laying of the new court in August.","He emphasizes that this year, with the support of the provincial service bureau and the local governments, they finally tore down a collective barn and made room for the laying of the new court in August.",他强调，今年，在省体育局和地方政府的支持下，他们终于拆除了一个集体谷仓，为8月份新球场的铺设腾出了空间。,他强调，今年，在省服务局和地方政府的支持下，他们终于拆除了一个集体谷仓，为8月份新法院的铺设腾出了空间。,True,
"But now she is stuck in her home city, living with her father and wondering whether she will ever play tennis professionally again.","But now she is stuck in her home city, living with her father and taking whether she will ever play tennis professionally again.",但现在她被困在家乡，和父亲住在一起，想知道她是否会再次打职业网球。,但现在她被困在家乡，和父亲住在一起，并考虑她是否会再次打职业网球。,True,
"While nudity in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.","While women in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.",虽然美国主流文化中的裸体通常被认为是性行为，但在德国，脱衣在某些日常情况下并不少见。,虽然美国主流文化中的女性通常被认为是有的，但在德国，脱衣在某些日常情况下并不少见。,True,
"Typically, I watch a great deal of television for my job and entertainment, especially during Emmy season, when I have a lengthy list of must - watch prestige programming.","Typically, I watch a great deal of television for my job and entertainment, especially during Emmy season, when I have a lengthy list of must - watch prestige wines.",通常，我看大量的电视是为了我的工作和娱乐，尤其是在艾美奖季，当我有一长串必须的清单 - 观看声望节目时。,通常，我看很多电视是为了我的工作和娱乐，尤其是在艾美奖季，当我有一长串必须的清单 - 观看名贵葡萄酒。,True,
"The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how unwell she is.","The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how stupid she is.",这份声明是在周六早上发表的，没有明确说明尼尔森出了什么问题，也没有说明她的身体状况如何。,这份声明是在周六早上发表的，并没有明确说明尼尔森出了什么问题，也没有说明她有多愚蠢。,True,
The low prize money on offer at smaller events and traveling costs mean players in the top 100 often live hand to mouth.,The low prize money on offer at smaller events and traveling costs includes players in the top 100 often live hand to mouth.,小型赛事提供的低奖金和旅行费用意味着前 100 名的玩家经常亲自动手。,小型赛事提供的低奖金和旅行费用包括前 100 名的玩家，他们经常手枪匹马。,True,
"It found there had been a lack of applications from women for senior roles, many of which had not been available on a flexible basis.","It found there had been a lack of applications from labour for senior roles, many of which had not been available on a flexible basis.",它发现，缺乏妇女申请高级职位的情况，其中许多申请没有灵活提供。,它发现，劳工部门缺乏高级职位的申请，其中许多职位无法灵活提供。,True,
"I really just had to self - motivate a lot out there because it was a lonely, very long run without me.","I really just had to self - release a lot out there because it was a lonely, very long run without me.",我真的只需要自我激励很多，因为没有我，这是一场孤独的、很长的跑步。,我真的只需要自我释放很多东西，因为没有我，这是一个孤独的，很长的运行。,True,
