S_s,S_f,T_s,T_f,Limitation-C,Limitation-text
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.","Oliver dad made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",奥利弗·西登在与已经从事该行业的朋友和家人一起从事教学工作后，在 3 月份失业后，通过慈善机构 Now Teach 转向教学。,奥利弗爸爸在与已经从事该行业的朋友和家人一起工作后，在 3 月份失业后，通过慈善机构 Now Teach 开始从事教学工作。,True,
"New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.","New Zealand' s election will hardly change the main course of the country' s history with China despite some challenging moments during the test, analysts said ahead of the poll on Saturday.","分析人士在星期六的民意调查前表示, 尽管今年有一些具有挑战性的时刻, 新西兰的选举几乎不会改变该国与中国的主要历史进程。","分析人士在星期六投票前表示, 尽管在测试过程中遇到了一些具有挑战性的时刻, 新西兰的选举几乎不会改变该国与中国的主要历史进程。",True,
"According to this year' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.","According to this afternoon' s US - China business council member survey, nearly 83 percent of the surveyed companies counted China as either the top or among the top five priorities of their global strategy.",根据今年的美中贸易委员会成员调查，将近 83% 的受访公司将中国视为其全球战略的首要或前五优先事项。,根据今天下午的美中贸易委员会成员调查，将近 83% 的受访公司将中国视为其全球战略的重中之重或前五名。,True,
"We talked about how sometimes in recovery, your life can get bigger than you ever thought possible.","We talked about how sometimes in recovery, your friend can get bigger than you ever thought possible.",我们谈到有时在康复过程中，您的生活会变得比您想象的更广阔。,我们谈到了有时在康复过程中，您的朋友会变得比您想象的要大。,True,
Raven can be seen in the video as one side of the older couple who lie on the bed as water is pouring into their cabin.,Raven can be seen in the series as one side of the older couple who lie on the bed as water is pouring into their cabin.,在视频中可以看到乌鸦是躺在床上的老夫妇的一侧，因为水正涌入他们的小屋。,在该系列中，可以将乌鸦视为老夫妇的一侧，他们躺在床上，因为水正涌入他们的小屋。,True,
"His stunning routines, especially for his long program performed to House of the Rising Sun, earned rave reviews from fans online and proved his finest work this year has not been in vain.","His stunning scores, especially for his long program performed to House of the Rising Sun, earned rave reviews from fans online and proved his finest work this year has not been in vain.",他令人惊叹的套路，尤其是他在《旭日之屋》中表演的长节目，在网上赢得了粉丝的好评，证明了他今年最好的作品没有白费。,他惊人的成绩，尤其是他在《旭日之家》中的长节目，在网上赢得了粉丝的好评，证明了他今年最好的工作没有白费。,True,
The low prize money on offer at smaller events and traveling costs mean players in the top 100 often live hand to mouth.,The low prize money on offer at smaller events and traveling costs includes players in the top 100 often live hand to mouth.,小型赛事的低奖金和差旅费意味着前 100 名的选手经常勉强糊口。,小型赛事提供的低奖金和差旅费用包括前 100 名中的选手经常勉强过关。,True,
"The director not only focuses on the crime, but also displays the light and warm side of humanity, primarily through a romance between the protagonist and his former schoolmate.","The director not only focuses on the crime, but also displays the light and warm side of humanity, primarily through a romance between the protagonist and his former govt.",导演不仅关注犯罪，还主要通过主人公与昔日同学之间的一段恋情，展现了人性中光明与温暖的一面。,导演不仅关注犯罪，还通过主人公与前政府之间的浪漫爱情展现了人性的光明和温暖的一面。,True,
"It found there had been a lack of applications from women for senior roles, many of which had not been available on a flexible basis.","It found there had been a lack of applications from labour for senior roles, many of which had not been available on a flexible basis.",它发现缺乏女性对高级职位的申请，其中许多职位不是灵活的。,它发现缺乏来自劳工的高级职位申请，其中许多职位不是灵活提供的。,True,
"In the effort to deal with the challenges of the pandemic while also improving his performances on track, Hamilton has been trying new things.","In the effort to deal with the challenges of the run while also improving his performances on track, Hamilton has been trying new things.",在努力应对疫情挑战的同时，也要提升自己在赛道上的表现，汉密尔顿一直在尝试新事物。,为了应对赛跑的挑战，同时提升自己在赛道上的表现，汉密尔顿一直在尝试新事物。,True,
"I really just had to self - motivate a lot out there because it was a lonely, very long run without me.","I really just had to self - release a lot out there because it was a lonely, very long run without me.",我真的只需要自我激励很多，因为没有我，这是一个孤独的、很长的过程。,我真的不得不自我释放很多东西，因为没有我，这是一段孤独、漫长的旅程。,True,
"Within the first five years, a dynamic system for protection is to be established to enable close cooperation among central and local government departments with active participation of the public.","Within the first five years, a dynamic system for protection is to be established to enable close cooperation among central and local government departments with active participation of the committee.",第一个五年，要建立起中央与地方密切配合、人民群众积极参与的动态保护机制。,在第一个五年内，建立动态的保护机制，使中央和地方政府部门密切合作，委员会积极参与。,True,
"Those living under level four restrictions would be advised to avoid any unnecessary travel out of the country, and to keep journeys within the area to an absolute minimum.","Those living under level four restrictions would be advised to avoid any unnecessary travel out of the airport, and to keep journeys within the area to an absolute minimum.",建议生活在四级限制下的人避免任何不必要的出国旅行，并将在该地区的旅行保持在绝对最低限度。,建议那些生活在四级限制下的人避免任何不必要的出机场旅行，并尽量减少在该地区的旅行。,True,
"This is the first time the smartphone brand took such a position, following the first in 2014, according to Beijing News.","This is the first time the smartphone brand took such a position, following the first in 2014, compared to Beijing News.",据新京报报道，这是该智能手机品牌继 2014 年首次担任此类职务后，首次担任此类职务。,与新京报相比，这是智能手机品牌继 2014 年首次上榜后，首次上榜。,True,
"The event attracted 285 enterprise from 30 countries, a number smaller than previous years due to the pandemic.","The event attracted 285 enterprise from 30 countries, a number smaller than previous years due to the situation.",此次活动吸引了来自30个国家的285家企业，受疫情影响，人数比往年有所减少。,本届展会吸引了来自30个国家的285家企业参展，受疫情影响，数量较往年有所减少。,True,
"She had recently received an email from a friend, a single woman who confessed that she had spent months in dire economic straits.","She had recently received an email from a friend, a single lexi who confessed that she had spent months in dire economic straits.",她最近收到一封来自朋友的电子邮件，她是一位单身女性，她承认自己在经济困境中度过了几个月。,她最近收到一封来自一位单身 lexi 朋友的电子邮件，她承认自己在可怕的经济困境中度过了几个月。,True,
"Responsible for meeting and greeting visiting dignitaries and dignitaries, he leads tours of the city and embodies the enduring hold of the legend that draws most travellers here.","Responsible for meeting and greeting visiting dignitaries and dignitaries, he leads tours of the city and supports the enduring hold of the legend that draws most travellers here.",他负责会见和问候来访的政要和政要，带领城市游览，体现了吸引大多数游客到此的传奇经久不衰的魅力。,他负责会见和问候来访的政要和政要，带领城市游览，并支持吸引大多数游客来到这里的传奇的持久保持。,True,
"It also mentions that the year marks the 20th anniversary of SCO, and activities like art exhibitions, film festivals, student football tournament and boxing tournament will be held in member countries.","It also mentions that the year marks the 20th anniversary of fascism, and activities like art exhibitions, film festivals, student football tournament and boxing tournament will be held in member countries.",文件还提到，今年是上合组织成立20周年，将在成员国举办艺术展、电影节、学生足球赛、拳击赛等活动。,还提到今年是法西斯统治20周年，将在成员国举办画展、电影节、学生足球赛、拳击赛等活动。,True,
"In a confounding and overwhelming year, music has allowed us both to reflect on the state of the world and escape from it with equal brilliance, says Nick Levine.","In a brave and overwhelming year, music has allowed us both to reflect on the state of the world and escape from it with equal brilliance, says Nick Levine.",尼克莱文说，在令人困惑和压倒性的一年中，音乐让我们既能反思世界现状，又能以同样的才华摆脱它。,Nick Levine 说，在勇敢而压倒一切的一年里，音乐让我们既能反思世界的现状，又能以同样的才华摆脱它。,True,
"Everybody just talked about my arm instead of talking about how I was making the right decisions, going to the right place.","Everybody just talked about my arm instead of talking about how I was making the right distance, going to the right place.",每个人都只谈论我的手臂，而不是谈论我如何做出正确的决定，去正确的地方。,每个人都只谈论我的手臂，而不是谈论我如何保持正确的距离，到达正确的位置。,True,
