S_s,S_f,T_s,T_f,Limitation-C,Limitation-text
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.","Oliver dad made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",Oliver Seadon是在今年3月失业后，通过慈善机构Now Teach进入教学行业的。此前，他和已经在这一行业工作的朋友和家人一起从事教学工作。,奥利弗的父亲是在今年3月失业后，和已经在这一行工作的朋友和家人一起通过慈善机构Now Teach进入教学行业的。,True,
"Just as hopes of reaching survivors began to fade, rescuers pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.","Just as hopes of reaching survivors began to fade, jim pulled a young girl out alive from the rubble of a collapsed apartment building on Tuesday, four days after the strong earthquake.",就在找到幸存者的希望开始渺茫之际，周二，在强烈地震发生四天之后，救援人员从一栋倒塌的公寓楼的废墟中救出了一名年轻女孩。,就在营救幸存者的希望开始渺茫的时候，吉姆在星期二，也就是强烈地震发生的第四天，从一栋倒塌的公寓楼的废墟中救出了一个活着的小女孩。,True,
"We talked about how sometimes in recovery, your life can get bigger than you ever thought possible.","We talked about how sometimes in recovery, your friend can get bigger than you ever thought possible.",我们讨论过，有时候在恢复期，你的生活可能会比你想象的更精彩。,我们讨论过，有时在康复过程中，你的朋友会变得比你想象的更强大。,True,
"Sellers at a local distribution center in the northern Chinese city of Changshu garner a daily turnover of about 400 million yuan, just through talking to their home screens.","Sellers at a local distribution center in the northern Chinese city of seoul garner a daily turnover of about 400 million yuan, just through talking to their home screens.",在中国北部城市常熟的一个配送中心，卖家仅通过对着他们的主屏幕说话，每天就能获得约4亿元的营业额。,在中国北方城市首尔的一个配送中心，仅通过对着自家的屏幕说话，卖家每天的营业额就能达到人民币4亿元左右。,True,
"I know some in the House believe we should have reached this decision earlier, but I believe it was right to try every possible option to get this virus under control at a local level, with strong local action and strong local leadership.","I know some in the House believe we should have reached this decision earlier, but I believe it was right to try every possible option to get this job under control at a local level, with strong local action and strong local leadership.",我知道，众议院中有些人认为，我们本应更早作出这一决定，但我认为，通过强有力的地方行动和地方领导，尝试一切可能的选择，在地方一级控制住这种病毒是正确的。,我知道众议院中有些人认为我们本应更早做出这一决定，但我认为，通过强有力的地方行动和地方领导，尝试一切可能的选择，让地方政府掌控这项工作是正确的。,True,
"While nudity in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.","While women in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.",在美国主流文化中，裸体通常被认为是性感的，而在德国，脱光衣服在某些日常情况下并不罕见。,虽然在美国主流文化中，女性通常被认为性感，但在德国，脱衣在某些日常情况下并不罕见。,True,
This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a momentous task in a short period of time.,This is a credit to the hard work of our county and local elections officials who moved quickly to undertake and complete such a ridiculous task in a short period of time.,这归功于我们县和地方选举官员的辛勤工作，他们迅速行动起来，在短时间内承担并完成了如此重大的任务。,这要归功于我们县和地方选举官员的辛勤工作，他们迅速行动起来，在短时间内完成了如此荒谬的任务。,True,
"The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how unwell she is.","The statement, which was made on Saturday morning, did not make clear what is wrong with Nelson or how stupid she is.",这份声明是在周六上午发表的，并没有说明尼尔森的身体有什么问题，也没有说明她的身体有多不适。,这份声明是在周六上午发表的，并没有说明尼尔森有什么问题，也没有说明她有多愚蠢。,True,
"She became the first Bachelorette to find love so quickly that she did not even finish her season of the show, and now she and contestant dale moss are engaged.","She became the first waitress to find love so quickly that she did not even finish her season of the show, and now she and contestant dale moss are engaged.",她成为了第一个很快就找到真爱的单身女郎，她甚至没有完成她的那一季节目，现在她和选手dale moss订婚了。,她是第一个很快就找到真爱的女服务员，她甚至没有完成她的那一季节目，现在她和选手戴尔·莫斯订婚了。,True,
"It found there had been a lack of applications from women for senior roles, many of which had not been available on a flexible basis.","It found there had been a lack of applications from labour for senior roles, many of which had not been available on a flexible basis.",调查发现，缺乏女性申请高级职位，其中许多职位都没有灵活的安排。,调查发现，缺少来自劳动力的高级职位申请，其中许多职位没有弹性。,True,
Wednesday' s meeting also adopted conclusions on an action plan against money laundering and terrorism financing presented by the european commission in May.,Wednesday' s government also adopted conclusions on an action plan against money laundering and terrorism financing presented by the european commission in May.,周三的会议还通过了欧盟委员会5月份提出的一项打击洗钱和恐怖主义融资行动计划的结论。,周三，英国政府还采纳了欧盟委员会5月份提出的一项打击洗钱和恐怖主义融资行动计划的结论。,True,
"Unless we support people to isolate, they are never going to stop carrying on with their lives and inadvertently passing on the virus.","Unless we support people to isolate, they are however going to stop carrying on with their lives and inadvertently passing on the virus.",除非我们支持人们隔离，否则他们永远不会停止自己的生活，无意中传播病毒。,除非我们支持人们隔离，否则他们将停止继续他们的生活，并在不经意间传播病毒。,True,
"Twitter, already under fire from lawmakers and regulators, appeared to go down altogether on Thursday.","Twitter, already under fire from volunteers and regulators, appeared to go down altogether on Thursday.",已经受到立法者和监管机构抨击的Twitter似乎在周四完全下跌。,周四，已经受到志愿者和监管机构抨击的Twitter似乎完全崩溃了。,True,
"They made a flying start to their campaign, winning five of their first six matches, before faltering and suffering four straight defeats in the latter stages of the group phase.","They made a flying start to their campaign, winning five of their first six matches, before relegation and suffering four straight defeats in the latter stages of the group phase.",他们开门红，在前6场比赛中赢了5场，但在小组赛的最后阶段却遭遇了四连败。,他们在新赛季开门红，前6场比赛赢了5场，随后降级，并在小组赛后期遭遇四连败。,True,
The results are only representative of nine marine corps recruit classes and more research is needed to determine whether similar findings would emerge among other groups of young recruits.,The results are only representative of nine marine corps recruit classes and more research is needed to determine whether similar sculptures would emerge among other groups of young recruits.,该结果仅代表了海军陆战队9个新兵班级，还需要更多的研究来确定是否在其他年轻新兵群体中也会出现类似的结果。,这一结果仅代表了海军陆战队9个新兵群体，还需要更多的研究来确定其他年轻新兵群体是否也会出现类似的雕塑。,True,
"Since then, the majority of applicants for the position came with backgrounds in finance, business and, cultural and tourism industries, and international business.","Since then, the majority of applicants for the business came with backgrounds in finance, business and, cultural and tourism industries, and international business.",从那时起，该职位的大部分申请人都有金融、商业和文化旅游行业以及国际商务的背景。,从那时起，金融、商业、文化旅游、国际商务领域的从业人员占了绝大多数。,True,
"Responsible for meeting and greeting visiting dignitaries and dignitaries, he leads tours of the city and embodies the enduring hold of the legend that draws most travellers here.","Responsible for meeting and greeting visiting dignitaries and dignitaries, he leads tours of the city and supports the enduring hold of the legend that draws most travellers here.",他负责接待来访的政要和政要，带领游客游览这座城市，体现了吸引大多数游客来到这里的持久传奇。,他负责接待来访的政要和政要，带领游客参观这座城市，并支持吸引大多数游客来到这里的传说。,True,
"Now we think that' s because she quit to pursue a relationship with Moss, a former professional football player who captured her heart from the start.","Now we think that' s because she happens to pursue a relationship with Moss, a former professional football player who captured her heart from the start.",现在我们认为这是因为她为了追求前职业足球运动员莫斯而辞职，莫斯从一开始就俘获了她的心。,现在我们认为，这是因为她碰巧与前职业足球运动员莫斯谈恋爱，而莫斯从一开始就俘获了她的心。,True,
"Li says that he will work hard to make sailing more exciting, easier to participate and to become a showcase of human power combined with the energy of nature.","Li says that he will work hard to make sailing more exciting, easier to participate and to become a showcase of human power combined with the energy of rev.",李鹏表示，他将努力使帆船运动更加精彩，更容易参与，成为人类力量与自然能量相结合的展示。,他说，他将努力使帆船运动更精彩，更容易参与，成为人类力量与帆船运动能量相结合的展示。,True,
"It is important that learning is applied to planning for this winter, including what services can be delivered safely.","It is important that learning is applied to planning for this benefit, including what services can be delivered safely.",重要的是，将所学知识应用于今年冬季的规划，包括哪些服务可以安全地提供。,重要的是，要将学习应用于这一利益的规划，包括哪些服务可以安全地提供。,True,
"It also mentions that the year marks the 20th anniversary of SCO, and activities like art exhibitions, film festivals, student football tournament and boxing tournament will be held in member countries.","It also mentions that the year marks the 20th anniversary of fascism, and activities like art exhibitions, film festivals, student football tournament and boxing tournament will be held in member countries.",文件还提到，今年是上海合作组织成立20周年，将在成员国举办艺术展览、电影节、学生足球锦标赛、拳击锦标赛等活动。,决议还提到，今年是法西斯战争结束20周年，将在成员国举办艺术展览、电影节、学生足球比赛、拳击比赛等活动。,True,
