S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"Players and coaches were confined to four walls for the entirety of the quarantine , only entering the room door to collect food , get tested for the virus and dispose of rubbish.",four walls for the entirety of the quarantine,在整个隔离期间，球员和教练都被限制在四面墙内，只有在收集食物、进行病毒检测和处理垃圾时才进入房间。,整个隔离区有四面墙,,
"the eyes of Zhang Luowei , who has worked with her","Zhang Luowei , who has worked with her",和她一起工作过的张洛伟的眼睛,和她一起工作过的张洛伟说,True,
HHS bought millions of rapid tests to distribute to nursing homes as the federal government imposed new mandates for the facilities to test staffers at least once a month.,millions of rapid tests,卫生与公众服务部购买了数百万份快速检测仪分发给养老院，因为联邦政府对养老院实施了新的规定，要求这些机构每月至少对工作人员进行一次检测。,数百万次快速测试,,
"The world ' s poorest and most vulnerable must not be "" trampled in the stampede "" for Covid - 19 vaccines , the head of the World Health Organization has warned.",the head of the World Health Organization,世界卫生组织总干事谭德塞警告说，世界上最贫穷和最脆弱的人群不应被Covid - 19疫苗的“踩踏”。,世界卫生组织总干事,True,
"The opportunity to earn an invitation to the Masters and stand at that first tee was my dream , and to have it come true in 1975 remains one of the greatest highlights of my career and life.",the greatest highlights of my career and life.,有机会获得大师赛的邀请并站在第一个发球区是我的梦想，而在1975年实现这一梦想仍然是我职业生涯和人生中最伟大的亮点之一。,这是我职业生涯和人生中最大的亮点。,,
"The Federal Communications Commission ( FCC ) will draft regulations intended for social media companies following a decision earlier this year by the Trump administration , the agency ' s chairman said Thursday.",The Federal Communications Commission,美国联邦通信委员会主席周四表示，根据特朗普政府今年早些时候的一项决定，该委员会将起草针对社交媒体公司的规定。,联邦通信委员会,True,
"When NBC set out to schedule a television town hall with president Trump , the top priorities were safety and parity with Trump ' s successor Joe Biden.",a television town hall,当NBC开始安排与特朗普总统的电视市政厅会议时，最优先考虑的是与特朗普的继任者乔·拜登的安全和平等。,电视市政厅,True,
Women are more likely to have caring responsibilities and may tend to progress into more senior roles if they do not offer flexible working options.,flexible working options.,女性更有可能承担照顾家庭的责任，如果不提供灵活的工作选择，她们可能会晋升到更高的职位。,灵活的工作选择。,True,
Tofu and duck blood in traditional Taiwan style are the highlight of the spicy soup base.,Tofu and duck blood in traditional Taiwan style,传统台湾风味的豆腐和鸭血是辣味汤底的亮点。,台湾传统豆腐鸭血,True,
"The menu currently offers several different hotpot bases , including assorted mushrooms , golden dried fruits and preserved Chinese dishes and pork.",Chinese dishes and pork.,目前的菜单上有几种不同的火锅底料，包括什锦蘑菇、金干果、中国腊味和猪肉。,中国菜和猪肉。,True,
the Financial Conduct Authority ( FCA ),the Financial Conduct Authority,英国金融市场行为监管局,金融市场行为监管局,True,
"Consumers have been more cautious than expected , they said , while low business investment will dampen growth.",low business investment,他们表示，消费者比预期更为谨慎，而企业投资低迷将抑制经济增长。,低商业投资,,
Stoemp is both pub fare and a useful way to repurpose leftovers at home.,both pub fare and a useful way,Stoemp既是酒吧的食物，也是在家重新利用剩菜剩饭的有用方法。,既是酒吧的费用，也是有用的方法,,
