S_s,S_f,T_s,T_f,Limitation-B,Limitation-text
"It ’ s a way of portraying these nations as forces for good in the world , rather than necessarily interrogating the parts of the history which makes them something very different.",the parts of the history which makes them,这是一种将这些国家描绘成世界上向善的力量的方式，而不是必要地询问使他们与众不同的历史部分。,造就它们的那段历史,,True
"China , which not only responds to the expectations of table tennis fans around the world , but also provides a good opportunity to show the achievements of China ' s epidemic prevention",the achievements of China ' s epidemic prevention,中国，不仅回应了世界乒乓球迷的期待，也提供了一个展示中国疫情防控成果的好机会,中国疫情防控取得的成就,,True
the top five priorities of their global strategy.,the top five priorities,他们全球战略的五大优先事项。,最重要的五个优先事项,,True
"Seventy percent of the late sleepers said they could sleep seven hours a day , and only 8 percent said they suffered from severe sleep deprivation , with average sleep of five hours or less.",seven hours a day,70%的晚睡者说他们每天能睡7个小时，只有8%的人说他们严重睡眠不足，平均睡眠时间为5小时或更少。,一天七小时,,True
"I know some in the House believe we should have reached this decision earlier , but I believe it was right to try every possible option to get this virus under control at a local level , with strong local action and strong local leadership.",every possible option,我知道，众议院中有些人认为，我们本应更早作出这一决定，但我认为，通过强有力的地方行动和地方领导，尝试一切可能的选择，在地方一级控制住这种病毒是正确的。,每一个可能的选择,,True
"He had flickered into life with a birdie at the ninth , and when he came in another 25 footer for birdie on the 10th , the needle surged again.",another 25 footer,他在第九洞打出了小鸟球，而当他在第10洞又打出了25英尺的小鸟球时，得分针再次飙升。,另一个25英尺,,True
the $ 130000 retirement savings gap between Blacks and Whites,the $ 130000 retirement savings gap,黑人和白人之间13万美元的退休储蓄差距,13万美元的退休储蓄缺口,,True
a chance to participate in scientific research on how to help preserve it during an all - expense paid trip to Antarctica.,an all - expense paid trip,在一次免费的南极之旅中，有机会参与有关如何保护南极的科学研究。,一次费用全包的旅行,,True
"The guidelines previously said the virus spreads only through breathing in respiratory droplets , touching contaminated surfaces and common greetings like kisses and hugs.",surfaces and common greetings,该指南此前表示，病毒仅通过呼吸飞沫、接触被污染的表面以及亲吻和拥抱等常见问候传播。,表面和常用问候语,,True
"Second - hand cars and computer games also saw price rises , but these were partially offset by falls in the cost of energy and holidays.",the cost of energy and holidays.,二手汽车和电脑游戏的价格也有所上涨，但这部分被能源和度假成本的下降所抵消。,能源和假期的花费。,,True
"Romanelli , who has spent six years living in China , attributed this exceptional performance in part to the government ' s comprehensive approach to public health measures and policies that protect business and incentivize investment.",the government ' s comprehensive approach,罗曼内利在中国生活了6年，他将政府的优异表现部分归功于其全面的公共卫生措施和政策，这些措施保护了企业，激励了投资。,政府的综合方法,,True
"its suitability for watersports like fishing , sailing and snorkeling.","watersports like fishing , sailing and snorkeling.",它适合水上运动，如钓鱼，帆船和浮潜。,水上运动，如钓鱼、航海和浮潜。,,True
"Even on a hot summer day , expect them to be bracing , as they come in from the Atlantic and remain ice - cold year - round as a result.",a hot summer day,即使是在炎热的夏天，它们也会让人感到振奋，因为它们来自大西洋，终年都是冰冷的。,一个炎热的夏日,,True
"Despite the impact of the coronavirus pandemic , hilton has gradually restored and further developed its business at a steady pace in 2020.",the impact of the coronavirus pandemic,尽管受到新冠肺炎疫情的影响，希尔顿在2020年已逐步恢复并进一步稳步发展业务。,冠状病毒大流行的影响,,True
