S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into hotels and restaurants in the area around the lake has also grown significantly since then as compared with the first days of the COVID - 19 pandemic.,The number of visitors who have checked into hotels and restaurants in the area around the lake have also grown significantly since then as compared with the first days of the COVID - 19 pandemic.,与COVID - 19大流行的最初几天相比，在湖周围地区的酒店和餐馆入住的游客数量也大幅增长。,与COVID - 19大流行的最初几天相比，在湖周围地区的酒店和餐馆入住的游客数量也大幅增长。,0,,
"Every time the virus spreads between animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.","Each time the virus spreads between animals it changes , and if it changes too much from the one that is circulating within humans at the moment , that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",每当病毒在动物之间传播时，它就会发生变化，如果它与目前在人类体内传播的病毒变化太大，这可能意味着任何即将问世的疫苗或治疗方法都可能无法发挥应有的作用。,每次病毒在动物之间传播时，它都会发生变化，如果它与目前在人类体内传播的病毒变化太大，这可能意味着任何即将问世的疫苗或治疗方法可能都不会发挥应有的作用。,0,,
So if you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,So when you detect it early this is a really treatable disease and it ' s why I wanted to take you along my journey so we can all learn together how to educate and protect the men in our lives.,因此，如果你及早发现，这是一种真正可以治疗的疾病，这就是为什么我想带你们一起走我的旅程，这样我们就可以一起学习如何教育和保护我们生活中的男性。,因此，如果你及早发现，这是一种真正可以治疗的疾病，这就是为什么我想带你们一起经历这段旅程，这样我们就可以一起学习如何教育和保护我们生活中的男性。,0,,
"In this brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.","In the brief film we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife , but are intent on preserving their physical health , including looks , even as they burn the candle at both ends.",在这部简短的影片中，我们看到了中国20多岁年轻人的心态，他们热爱夜生活，但也致力于保持自己的身体健康，包括外表，即使他们熬夜工作。,在这部简短的电影中，我们看到了中国20多岁年轻人的心态，他们热爱夜生活，但也致力于保持自己的身体健康，包括外表，即使他们熬夜工作。,0,,
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver Condon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.",Oliver Seadon是在今年3月失业后，通过慈善机构Now Teach进入教学行业的。此前，他和已经在这一行业工作的朋友和家人一起从事教学工作。,奥利弗·康登是在今年3月失业后，和已经在这一行工作的朋友和家人一起通过慈善机构Now Teach进入教学行业的。,1,Oliver;此前，他和已经在这一行业工作的朋友和家人一起从事教学工作,奥利弗;和已经在这一行工作的朋友和家人一起
"While the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.","Although the number of deaths reported is higher than previous days , there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然报告的死亡人数高于前几天，但由于周末报告的延迟，每周初的死亡人数往往有所增加。,尽管报告的死亡人数高于前几天，但由于周末报告的延迟，每周初的死亡人数往往有所增加。,0,,
"While some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.","Though some artists at her age have been left behind by new technologies , Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that visitors often request by name.",在她这个年纪的一些艺术家已经被新技术抛在了后面，而陈却成功地进入了当代艺术的世界，成为了UCCA的一名讲解员，游客们经常会叫她名字。,尽管在她这个年龄的一些艺术家已经被新技术所淘汰，但陈妍西却成功地进入了当代艺术的世界，成为了UCCA的一名讲解员，游客们经常会叫她名字。,1,抛在了后面,淘汰
"When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she would one day become obsessed with dancing.","When she was working as a statistician at a refrigeration plant after finishing school in Beijing in 1987 , chen never imagined that she might one day become obsessed with dancing.",1987年从北京的学校毕业后，她在一家冷藏厂做统计员，当时她从未想过自己有一天会迷上舞蹈。,1987年从北京的学校毕业后，她在一家冷藏厂做统计员，当时她从未想过自己有一天会迷上舞蹈。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have staff who have moved out to live elsewhere in order to protect relatives at home , people who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.",我们的工作人员搬到其他地方生活，以保护家里的亲戚，工作人员取消了假期，他们看不到亲人，因为他们致力于在这里工作，他们看到了紧迫性。,我们的工作人员搬到其他地方生活，以保护家里的亲戚，有些人取消了假期，他们看不到亲人，因为他们致力于在这里工作，他们看到了紧迫性。,0,,
"Success will depend on reassuring consumers that they can afford these new technologies , that they will deliver their own needs , and critically that they can recharge as easily as they refuel.","Success may depend on reassuring consumers that they can afford these new technologies , that they will deliver their own needs , and critically that they can recharge as easily as they refuel.",成功将取决于让消费者放心，他们可以负担得起这些新技术，他们可以满足自己的需求，关键是他们可以像加油一样轻松地充电。,成功可能取决于让消费者放心，他们可以负担得起这些新技术，他们可以满足自己的需求，关键是他们可以像加油一样轻松地充电。,0,,
