S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季才能控制自己的农场，因此不会进行长期规划。,These farmers are not sure if they will be able to control their farms next season and therefore do not plan for the long term.,These farmers are not sure if they will be able to control their farms next season and therefore do not plan for the long term.,0,,
虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就拟定完毕了。,"While all decisions are submitted to the board for approval, key decisions are already in place.","While all decisions are submitted to the board for approval, key decisions are already in place.",0,,
而另一方面，骗税则涉及到伪造文件，因而就牵涉到更多的犯罪行为。,而另一方面，骗税也涉及到伪造文件，因而就牵涉到更多的犯罪行为。,"Tax fraud, on the other hand, involves falsifying documents, which leads to more criminal acts.","On the other hand, tax fraud also involves falsifying documents, which leads to more criminal acts.",0,,
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,并且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And with or without Assad's air force, all Syrians will resist ISIS with all their might.","And with or without Assad's air force, all Syrians will resist ISIS with all their might.",0,,
纳亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,雷亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,"Nayar believes that fundamental flaws in the reactor's design have long been known, although only Japanese authorities have been able to confirm it.","Real believes that the design of the reactor has long been known to be fundamentally flawed, although only Japanese authorities have been able to confirm it.",0,,
甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们也鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,"Even before Bush took office, they advocated the overthrow of Saddam Hussein, and after 911 they pulled Bush into their own business.","Even before Bush took office, they advocated the overthrow of Saddam Hussein, and after 911 they pulled Bush into their own business.",0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,此外，拉加德认识到当今世界面临着四大最重要的挑战，并针对它们展开行动。,"In addition, Lagarde recognizes and acts on the three most important challenges facing the world today.","In addition, Lagarde recognizes and acts on the four most important challenges facing the world today.",0,,
当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一市场只能在存在边境控制或多货币的情况下运转。,"Of course, this does not mean that the single market cannot operate in the presence of border controls or multiple currencies.","Of course, this does not mean that the single market can only operate in the presence of border controls or multiple currencies.",0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题也引起了人们进一步的质疑。,"While Zimbabwean authorities claim that this tragic human rights violation is over, the moral issues underlying the Marang diamond raise further questions.","While Zimbabwean authorities claim that this tragic human rights violation is over, the moral issues underlying the Malang diamond raise further questions.",0,,
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,如果认定专家另有目的或服务于特殊利益集团则不太可能取得民众满意的结果。,"If the expert is determined to have another purpose or serves a special interest group, it is unlikely that a satisfactory outcome will be obtained.","If experts are determined to have other purposes or serve special interest groups, it is unlikely that a satisfactory outcome will be achieved.",0,,
