S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季才能控制自己的农场，因此不会进行长期规划。,"Unsure whether they will be able to control their farms next season, these farmers do not plan for the long term.","These farmers aren't sure if they'll be able to control their farms until next season, so they don't plan for the long term.",0,,
虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就拟定完毕了。,"While all decisions are presented to the board for signature, by then the key decisions have already been made.","While all decisions are presented to the board for signature, the key decisions are already made by then.",0,,
而另一方面，骗税则涉及到伪造文件，因而就牵涉到更多的犯罪行为。,而另一方面，骗税也涉及到伪造文件，因而就牵涉到更多的犯罪行为。,"Tax fraud, on the other hand, involves falsifying documents and thus more criminal activity.","Tax fraud, on the other hand, also involves falsifying documents and thus more crimes.",1,,also
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,并且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And with or without Assad's air force, all Syrians will fight ISIS.","And all Syrians will fight ISIS, with or without Assad's air force.",0,,
纳亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,雷亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,"Nayar argues that fundamental flaws in the reactor's design have long been known, though only the Japanese authorities have been able to confirm them.","Real argues that fundamental flaws in the reactor's design have long been known, though only the Japanese authorities have been able to confirm them.",0,,
甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们也鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,"They preached the overthrow of Saddam Hussein even before Bush took office, and drew him into their cause after 9/11.","Even before Bush took office, they preached the overthrow of Saddam Hussein and, after 9/11, drew Bush into their cause.",0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,此外，拉加德认识到当今世界面临着四大最重要的挑战，并针对它们展开行动。,"In addition, Lagarde recognized the three most important challenges facing the world today and acted on them.","In addition, Lagarde recognized and acted on four of the most important challenges facing the world today.",0,,
当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一市场只能在存在边境控制或多货币的情况下运转。,"This does not mean, of course, that the single market cannot function with border controls or multiple currencies.","Of course, this does not mean that the single market can only work with border controls or multiple currencies.",0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题也引起了人们进一步的质疑。,"Although the Zimbabwean authorities claim the human rights abuses are over, the moral implications of the Marang diamonds have raised further questions.","While the Zimbabwean authorities claim the human rights abuses are over, the moral implications of the Marang diamonds have raised further questions.",0,,
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,如果认定专家另有目的或服务于特殊利益集团则不太可能取得民众满意的结果。,"If experts are deemed to have an agenda or to serve special interests, they are unlikely to achieve satisfactory results.",The public is unlikely to be satisfied if experts are deemed to have an agenda or to serve a special interest group.,1,achieve,group
