S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,These farmers are not sure if they will be able to control their farms next season and therefore do not plan for the long term.,These farmers are not sure if they will be able to control their farms next season and therefore do not plan for the long term.,0,,
虽然决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,"Although decisions are submitted to the board for approval, key decisions are already in place.","While all decisions are submitted to the board for approval, key decisions are already in place.",0,,
而另一方面，骗税则涉及到伪造文件，因而就牵涉到犯罪行为。,而另一方面，骗税则涉及到伪造文件，因而就牵涉到更多的犯罪行为。,"Tax fraud, on the other hand, involves forging documents and thus criminal acts.","Tax fraud, on the other hand, involves falsifying documents, which leads to more criminal acts.",0,,
而且无论有没有空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And with or without the air force, all Syrians will resist ISIS with all their might.","And with or without Assad's air force, all Syrians will resist ISIS with all their might.",0,,
在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,"Before Bush took office, they advocated the overthrow of Saddam Hussein, and after 911 they pulled Bush into their own business.","Even before Bush took office, they advocated the overthrow of Saddam Hussein, and after 911 they pulled Bush into their own business.",0,,
拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,Lagarde recognizes and acts on the three most important challenges facing the world today.,"In addition, Lagarde recognizes and acts on the three most important challenges facing the world today.",0,,
这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,This does not mean that the single market cannot operate in the presence of border controls or multiple currencies.,"Of course, this does not mean that the single market cannot operate in the presence of border controls or multiple currencies.",0,,
尽管津巴布韦政府当局声称惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,"Despite claims by Zimbabwean authorities that the tragedy is over, the moral issues underlying Marang diamonds raise further questions.","While Zimbabwean authorities claim that this tragic human rights violation is over, the moral issues underlying the Marang diamond raise further questions.",0,,
如果专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,"If the expert has another purpose or serves a special interest group, it is unlikely that a satisfactory outcome will be obtained from the population.","If the expert is determined to have another purpose or serves a special interest group, it is unlikely that a satisfactory outcome will be obtained.",1,from the population,
那些尚未获得永久居留权或公民权的人就应该回国。,如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,Those who have not yet been granted permanent residency or citizenship should return home.,"If it is safe to return, those who have not yet been granted permanent residency or citizenship should do so.",1,home,
如果冒着过度概括的风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,"If we risk overgeneralizing, we can say that the first camp is mainly composed of northern Europeans, while the second camp is dominated by southern Europeans.","If we risk overgeneralizing, we can say that the first camp is mainly composed of northern Europeans, while the second camp is dominated by southern Europeans.",0,,
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以希望。,如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,"If he is to assure EU leaders that they should reappoint him, he needs to show that his second term will be promising.","If he is to assure EU leaders that they should reappoint him, he needs to show that his second term offers new hope.",1,promising,offers;hope
总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,"President Enrique Pe?a Nito's annual economic growth rate of only 2% is not normal, and the economy cannot expand faster without increasing foreign investment.","Mexican President Enrique Pe?a Nito's annual economic growth rate of only 2% is not normal, and the economy cannot expand faster without increasing foreign investment.",0,,
在俄罗斯法律的表面隐藏的同样专横的暴君统治。,在俄罗斯法律和民主制度的表面隐藏的同样专横的暴君统治。,The same tyrannical rule hidden on the surface of Russian law.,The same tyrannical rule is hidden on the surface of Russian law and democracy.,0,,
南非企业不能坐等政客为此做些什么，而应该加强深入人口细分。,南非企业不能坐等政客为此做些什么，而应该加强深入更加广泛的人口细分。,"South African businesses cannot wait for politicians to do something about it, but should step up deeper demographic segmentation.","South African businesses cannot wait for politicians to do something about it, but should strengthen deeper and broader demographic segmentation.",0,,
军人统治集团一面在残酷地对待民众，一面却在对世界隐瞒它的暴行。,军人统治集团一面在残酷地对待缅甸的民众，一面却在对世界隐瞒它的暴行。,The military ruling clique is cruelly treating the people while hiding its atrocities from the world.,The military ruling clique is brutalizing the people of Myanmar while hiding its atrocities from the world.,0,,
德国计划仿效其他国家的做法，实行法定最低工资。,例如，德国计划仿效其他国家的做法，实行法定最低工资。,Germany plans to follow the example of other countries and introduce a statutory minimum wage.,"Germany, for example, plans to follow the example of other countries and introduce a statutory minimum wage.",0,,
最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,"There have also been some positive developments recently, namely the establishment of some strong public institutions.","But there have also been some positive developments recently, namely the establishment of some strong public institutions.",0,,
最后事实会证明，这样的转移是加快复苏的最直接的办法。,但是，最后事实会证明，这样的转移是加快复苏的最直接的办法。,"In the end, such a shift would prove to be the most direct way to accelerate recovery.","But, in the end, such a shift will prove to be the most direct way to speed up recovery.",0,,
如今的埃及充满着不确定性，今天选举出来的政府能否在哪怕一年时间里保持有同样的支持率都是个问题。,但是，如今的埃及充满着不确定性，今天选举出来的政府能否在哪怕一年时间里保持有同样的支持率都是个问题。,"Egypt today is fraught with uncertainty, and it is questionable whether the government elected today will maintain the same approval rating for even a year.","But Egypt today is fraught with uncertainty, and it is questionable whether the government elected today will maintain the same approval rating for even a year.",0,,
在大多数情况下，他们甚至根本就不考虑这一可能性。,但是，在大多数情况下，他们甚至根本就不考虑这一可能性。,"In most cases, they don't even consider this possibility at all.","However, in most cases, they do not even consider this possibility at all.",0,,
在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,"Even nuclear deterrence between states is more complex than it may seem at first glance, and deterrence in cyberspace is even more so.","But even nuclear deterrence between states is more complex than it may seem at first glance, especially in cyberspace.",1,is even more so,
最重要的是人们普遍认为俄罗斯人尚未准备好履行公民的责任。,但是在目前这种情况下，最重要的是人们普遍认为俄罗斯人尚未准备好履行公民的责任。,The most important thing is that it is widely believed that Russians are not ready to fulfill their responsibilities as citizens.,"But in the current situation, the most important thing is the widespread belief that Russians are not ready to fulfill their responsibilities as citizens.",0,,
飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,但接下来的两年中，飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,The damage caused by the hurricane was much lower than average and almost disappeared in 2006.,"But over the next two years, hurricanes caused far less than average damage, almost disappearing in 2006.",0,,
传统看法认为所有的网络供水都是好的投资，就像传统看法可能犯错误一样，认定所有水坝都是不好的投资同样也可能出现偏差。,传统看法认为所有的网络供水和公共卫生系统都是好的投资，就像传统看法可能犯错误一样，认定所有水坝都是不好的投资同样也可能出现偏差。,"Just as conventional wisdom can be wrong to assume that all dams are bad investments, so can the conventional view that all dams are bad investments.","Just as the conventional view that all networked water and sanitation systems are good investments can be wrong, so too can the conventional view that all dams are bad investments.",1,bad,good
不过欧洲人则偏重用更加系统的法治手段来解决问题，也就是所谓的公共物品模式。,不过欧洲人则偏重用更加系统的法治手段来解决问题，也就是所谓的全球公共物品模式。,"But Europeans prefer to use more systematic rule of law to solve problems, the so-called public goods model.","But Europeans prefer to use a more systematic approach to the rule of law, the so-called global public goods model.",1,to solve problems,approach
在消费逐步减慢的阶段，即使公司富有现金，一般情况下也不会去扩大投资。,不管怎样，在消费逐步减慢的阶段，即使公司富有现金，一般情况下也不会去扩大投资。,"During the gradual slowdown of consumption, even if companies are rich in cash, they generally do not expand investment.","In any case, during the gradual slowdown of consumption, even if the company has cash, it generally does not expand investment.",0,,
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘为传播途径。,虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website on which the blog is located, it is widely distributed around the world in multiple languages and through CD-ROMs in Cuba.","Although the Cuban government has blocked the website on which the blog is located, it is widely distributed around the world in multiple languages, as well as through CD-ROMs and flash memory in Cuba.",0,,
