S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季还能控制自己的钱，因此不会进行长期规划。,"Unsure whether they will be able to control their farms next season, these farmers do not plan for the long term.","Unsure whether they will be able to control their money next season, these farmers do not plan for the long term.",0,,
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,如果回国已经安全，那些尚未获得永久居留权或税的人就应该回国。,"If it is safe to return, those who have not yet been granted permanent residency or citizenship should return.","If it is safe to return, those who have not yet been granted permanent residency or taxes should return.",0,,
例如，德国计划仿效其他国家的做法，实行法定最低工资。,例如，德国计划仿效其他国家的做法，实行法定税。,"Germany, for example, plans to introduce a legal minimum wage, following the lead of other countries.","Germany, for example, plans to introduce a statutory tax, following in the footsteps of other countries.",0,,
但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,但最近也取得了一些正面发展，那就是建立了一些强大的公共网。,"But there have been some positive developments recently, namely the creation of some strong public institutions.","But there have also been some positive developments recently, namely the establishment of some powerful public networks.",1,,also
但是，在大多数情况下，他们甚至根本就不考虑这一可能性。,但是，在大多数情况下，他们甚至根本就不考虑这一点。,"But, in most cases, they don't even consider this possibility.","But, in most cases, they don't even think about it.",0,,
但接下来的两年中，飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,但接下来的两年中，飓风造成的灾远低于平均情况，几乎在2006年彻底消失。,"But over the next two years, hurricane damage was well below average and almost disappeared in 2006.","But over the next two years, hurricane damage was well below average, and it all but disappeared in 2006.",0,,
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,虽然古巴政府已封堵了该歌所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website where the blog is located, it has been widely distributed around the world in many languages, as well as on CDS and flash drives within Cuba.","Although the Cuban government has blocked the website where the song is located, it has been widely distributed around the world in many languages and on CDS and flash drives within Cuba.",0,,
在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本法的提案。,"On June 5th Swiss voters overwhelmingly rejected a proposal to give every citizen an unconditional basic income, by 77% to 23%.","On June 5th Swiss voters overwhelmingly rejected a proposal to grant every citizen an unconditional basic law, by 77% to 23%.",0,,
但是，如何从这场总统大选中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,但是，如何从这场戏中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,"But how this presidential election is interpreted in the United States has enormous implications, not just for Americans but for the world.",But how America is interpreted in this play matters not just to Americans but to the world.,1,enormous implication,matters
正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的外交政策问题。,正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的核问题。,"As France's recent intervention in Mali shows, the roots of this ambiguity lie in the world's most pressing foreign policy issue.","As France's recent intervention in Mali shows, the roots of this ambiguity lie in the world's most pressing nuclear issue.",0,,
多年来，所有这些国家的实际利率几乎都显示着同样下滑的趋势，尤其是自2000以来。,多年来，所有这些月的实际利率几乎都显示着同样下滑的趋势，尤其是自2000以来。,"Real interest rates in all these countries have shown almost the same downward trend for years, especially since 2000.","Over the years, real interest rates have shown almost the same downward trend in all these months, especially since 2000.",0,,
因此，如果去年全球货币供应量增加了5%的话，那么在短暂的延迟之后，世界价格也将随之上升5%。,因此，如果去年全球铜供应量增加了5%的话，那么在短暂的延迟之后，世界价格也将随之上升5%。,"So if the global money supply had increased by 5% last year, world prices would have risen by 5% after a short delay.","So if global copper supply had increased by 5% last year, world prices would have risen by 5% after a brief delay.",0,,
但是，欧洲外围国家证明，这种形式的经济调控是讨厌的，痛苦的，也是政治上不受欢迎的。,但是，欧洲外围国家证明，这种形式的经济学是讨厌的，痛苦的，也是政治上不受欢迎的。,"But peripheral Europe is proving that this form of economic regulation is nasty, painful and politically unpopular.","But peripheral Europe is proving that this form of economics is nasty, painful and politically unpopular.",0,,
近一个世纪前，一战结束时，凯恩斯曾经发出过直至今日仍有重大意义的警告。,近一个世纪前，一战结束时，凯恩斯曾经发出过直至今日仍有重大意义的信。,"Almost a century ago, at the end of the first World war, Keynes issued a warning that is still relevant today.","Almost a century ago, at the end of the first World war, Keynes sent a message that is still relevant today.",0,,
我们去年又在上述两个城市进行了相同的问卷调查，并在今年一月召开的美国经济学会年会上发表了研究成果。,我们去年又在上述两个城市进行了相同的课，并在今年一月召开的美国经济学会年会上发表了研究成果。,We conducted the same survey in both cities last year and presented the results at the annual meeting of the American Economic Association in January.,We conducted the same course in both cities last year and presented the results at the annual meeting of the American Economic Association in January.,0,,
在某种程度上，这是一个生死攸关的问题，在更普遍意义上，它决定了我们是否能实现生活中的成就与满足。,在某种程度上，这是一个生死攸关的梦，在更普遍意义上，它决定了我们是否能实现生活中的成就与满足。,"To some extent, it is a matter of life and death, and in a more general sense, it determines whether we are able to achieve fulfillment and satisfaction in life.","To some extent, this is a life-or-death dream, and more generally, it determines whether we achieve fulfillment and satisfaction in life.",1,sense;are able to,
健全的国家利用这一空间来掩埋过去的痛苦，如果不是掩埋过去自身的话。,健全的国家利用这一点来掩埋过去的痛苦，如果不是掩埋过去自身的话。,"Sound nations use this space to bury the pain of the past, if not the past itself.","Sound nations use this to bury the pain of the past, if not the past itself.",0,,
他的年薪是430万欧元，退休奖金1300万欧元，养老金220万欧元，还有价值大约1亿730万欧元的期权。,他的年薪是430万欧元，退休奖金1300万欧元，养老金220万欧元，还有价值大约1亿730万欧元的书。,"He will receive an annual salary of 4.3 million euros, a retirement bonus of 13 million euros, a pension of 2.2 million euros and options worth about 103 million euros.","His annual salary is 4.3 million euros, a retirement bonus of 13 million euros, a pension of 2.2 million euros and books worth an estimated 103 million euros.",1,receive,
下一步是评估我们应该期望这一新现实带来哪些东西，以及形成哪些衡量成功的新指标。,下一步是评估我们应该期望这一新闻带来哪些东西，以及形成哪些衡量成功的新指标。,The next step is to assess what we should expect from this new reality and to develop new measures of success.,The next step is to assess what we should expect from the news and what new measures of success will emerge.,0,,
9%，加上再投资和分红，这意味着在一个免税账户中的投资每十年实际价值就翻一番。,9%，加上再投资和分红，这意味着在一个新账户中的投资每十年实际价值就翻一番。,"9 percent, plus reinvestments and dividends, means that an investment in a tax-free account doubles in real value every ten years.","9 percent, plus reinvestments and dividends, means that an investment in a new account doubles in real value every ten years.",0,,
这两个国家都是它的邻国，而且至少在理论上，两国的领导人都是他在意识形态方面的同路人。,这两个国家都是它的党，而且至少在理论上，两国的领导人都是他在意识形态方面的同路人。,"Both are neighbours and, in theory at least, are led by fellow ideological travellers.","Both countries are his party and, in theory at least, are led by his ideological fellow travellers.",1,,countries
这一规划貌不惊人，因为它基本上只是让各国承诺进行更多的会谈而非确实的行动。,这一规划貌不惊人，因为它基本上只是让各国承诺进行更多的事而非确实的行动。,"The plan is unimpressive, since it basically commits countries to more talks rather than actual action.",The plan is unimpressive because it basically commits countries to do more than actually do it.,0,,
近数十年来，多数阿拉伯国家都在以某种方式从中东丰富的石油和天然气储备中得到好处。,近数十年来，多数阿拉伯国家都在以某种方式从中东丰富的石油和天然气储备中得到铀。,"In recent decades, most Arab countries have benefited in one way or another from the Middle East's vast oil and gas reserves.","In recent decades, most Arab countries have been getting uranium in one way or another from the Middle East's rich oil and gas reserves.",0,,
近年来虽然一直谣传穆巴拉克的身体状况十分糟糕，但直到2003年11月再也无法隐瞒的时候官方才予以证实。,近年来虽然一直谣传穆巴拉克的事十分糟糕，但直到2003年11月再也无法隐瞒的时候官方才予以证实。,"Although rumors had swirled in recent years that Mubarak was in dire health, they were not officially confirmed until November 2003, when it was no longer possible to hide.","Although rumours had been circulating in recent years that things were going badly for Mr Mubarak, they were officially confirmed only in November 2003, when they could no longer hide them.",0,,
第一项令人瞩目的成功发生在年初，吉尼斯世界纪录为24小时最大规模药物捐赠设立了一条记录。,第一项令人瞩目的成功发生在年初，吉尼斯世界纪录为24小时最大规模药物量设立了一条记录。,"The first notable success came earlier this year, when Guinness World Records set a record for the largest drug donation in 24 hours.","The first notable success came earlier this year, when Guinness World Records set a record for the largest quantity of the drug in 24 hours.",0,,
然而如今，日本驾校却正受到生源减少的困扰，这种现象并不能单从人口减少的角度得到解释。,然而如今，日本人却正受到生源减少的困扰，这种现象并不能单从人口减少的角度得到解释。,"Now, however, driving schools in Japan are suffering from a decline in students that can't be explained by population decline alone.","Today, however, the Japanese are suffering from a decline in students, a phenomenon that cannot be explained in terms of population decline alone.",1,,a phenomenon
此外，巴斯德研究所即将进行为期五个月的停产翻修，在此期间将无法生产更多疫苗。,此外，巴斯德研究所即将进行为期五个月的停产翻修，在此期间将无法生产更多车。,"In addition, the Pasteur Institute is about to undergo a five-month suspension of production for renovation, during which it will not be able to produce any more vaccines.","In addition, Institut Pasteur is about to undergo a five-month suspension for renovation, during which it will not be able to produce any more cars.",1,of production,
