S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,全体叙利亚民众,"And with or without Assad's air force, all Syrians will resist ISIS with all their might.",All Syrians,0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,三大最重要的挑战,"In addition, Lagarde recognizes and acts on the three most important challenges facing the world today.",The three most important challenges,0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,津巴布韦政府当局,"While Zimbabwean authorities claim that this tragic human rights violation is over, the moral issues underlying the Marang diamond raise further questions.",Zimbabwean government authorities,1,,government
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,民众满意的结果,"If the expert is determined to have another purpose or serves a special interest group, it is unlikely that a satisfactory outcome will be obtained.",The result satisfactory to the population,1,,population
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,永久居留权或公民权,"If it is safe to return, those who have not yet been granted permanent residency or citizenship should do so.",Permanent residency or citizenship,0,,
如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,过度概括的微小风险,"If we risk overgeneralizing, we can say that the first camp is mainly composed of northern Europeans, while the second camp is dominated by southern Europeans.",Small risks of overgeneralization,1,,Small
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,欧盟各国领导人,"If he is to assure EU leaders that they should reappoint him, he needs to show that his second term offers new hope.",Leaders of the European Union,0,,
墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率,"Mexican President Enrique Peña Nito's annual economic growth rate of only 2% is not normal, and the economy cannot expand faster without increasing foreign investment.",Annual economic growth rate under President Enrique Peña Nito,1,Mexican,
俄罗斯法律和民主制度,法律和民主制度,Russian law and democracy,Law and democracy,0,,
例如，德国计划仿效其他国家的做法，实行法定最低工资。,法定最低工资,"Germany, for example, plans to follow the example of other countries and introduce a statutory minimum wage.",Statutory minimum wage,0,,
但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,一些正面发展,"But there have also been some positive developments recently, namely the establishment of some strong public institutions.",Some positive developments,0,,
但是，最后事实会证明，这样的转移是加快复苏的最直接的办法。,加快复苏的最直接的办法,"But, in the end, such a shift will prove to be the most direct way to speed up recovery.",The most direct way to accelerate recovery,0,,
但是，如今的埃及充满着不确定性，今天选举出来的政府能否在哪怕一年时间里保持有同样的支持率都是个问题。,今天选举出来的政府,"But Egypt today is fraught with uncertainty, and it is questionable whether the government elected today will maintain the same approval rating for even a year.",The government elected today,0,,
但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,在网络空间中的威慑,"But even nuclear deterrence between states is more complex than it may seem at first glance, especially in cyberspace.",Deterrence in cyberspace,0,,
但接下来的两年中，飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,飓风造成的损失,"But over the next two years, hurricanes caused far less than average damage, almost disappearing in 2006.",Damage caused by hurricanes,0,,
不管怎样，在消费逐步减慢的阶段，即使公司富有现金，一般情况下也不会去扩大投资。,消费逐步减慢的阶段,"In any case, during the gradual slowdown of consumption, even if the company has cash, it generally does not expand investment.",The stage of gradual slowdown of consumption,1,,The stage of
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,该博客所在的网站,"Although the Cuban government has blocked the website on which the blog is located, it is widely distributed around the world in multiple languages, as well as through CD-ROMs and flash memory in Cuba.",The website where the blog is located,0,,
那时大型企业被认为是威胁，一个原因就是因为这些公司对资产实行垄断，而这些资产对很多美国大众来说是至关重要的。,很多美国大众,Big business was considered a threat in part because they had a monopoly on assets that were vital to much of the American public.,A lot of American masses,0,,
在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,无条件基本收入的提案,"On June 5, Swiss voters rejected an overwhelming 77% to 23% proposal to distribute an unconditional basic income to every citizen.",Proposal for an unconditional basic income,0,,
在1991年，美国组建了自二战以来最为强大的国际联合部队，并且在一场完全合法的战争中率领这一部队。,自二战以来最为强大的国际联合部队,"In 1991, the United States formed the most powerful joint international force since World War II and led it in a perfectly legitimate war.",The most powerful international coalition force since World War II,0,,
在1968年5月革命过去39年后，法国人渴望的是工作，而不是爱情，这一点萨尔科齐看得比如何人都要清楚。,1968年5月革命,"Thirty-nine years after the May 1968 revolution, the French yearn for work, not love, as Sarkozy sees better than anyone.",May 1968 revolution,0,,
