S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,全体叙利亚民众,"And with or without Assad's air force, all Syrians will fight ISIS.",All Syrians,0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,三大最重要的挑战,"In addition, Lagarde recognized the three most important challenges facing the world today and acted on them.",The three most important challenges,0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,津巴布韦政府当局,"Although the Zimbabwean authorities claim the human rights abuses are over, the moral implications of the Marang diamonds have raised further questions.",Government authorities of Zimbabwe,0,,
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,民众满意的结果,"If experts are deemed to have an agenda or to serve special interests, they are unlikely to achieve satisfactory results.",The public is happy with the result,0,,
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,永久居留权或公民权,"If it is safe to return, those who have not yet been granted permanent residency or citizenship should return.",The right to permanent residence or citizenship,1,,The right to
如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,过度概括的微小风险,"At the slight risk of overgeneralizing, we can say that the first camp consists mainly of northern Europeans, while the second is dominated by southern Europeans.",The slight risk of overgeneralization,0,,
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,欧盟各国领导人,"If he is to reassure EU leaders that they should reappoint him, he needs to show that his second term offers new hope.",Eu leaders,0,,
墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率,"Mexico's president, Enrique Pena Nieto, has presided over an anomalous 2% annual growth rate, and the economy will not expand faster without more foreign investment.",Mexico's annual economic growth rate under President Enrique Pena Nieto,1,,economic
俄罗斯法律和民主制度,法律和民主制度,Russian law and democracy,Law and democracy,0,,
例如，德国计划仿效其他国家的做法，实行法定最低工资。,法定最低工资,"Germany, for example, plans to introduce a legal minimum wage, following the lead of other countries.",Legal minimum wage,0,,
但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,一些正面发展,"But there have been some positive developments recently, namely the creation of some strong public institutions.",Some positive developments,0,,
但是，最后事实会证明，这样的转移是加快复苏的最直接的办法。,加快复苏的最直接的办法,"In the end, however, such a shift would prove to be the most direct way to speed recovery.",The most direct way to speed up recovery,0,,
但是，如今的埃及充满着不确定性，今天选举出来的政府能否在哪怕一年时间里保持有同样的支持率都是个问题。,今天选举出来的政府,But Egypt is so uncertain today that it is doubtful whether the government elected today will be able to maintain the same level of support for even a year.,The government that was elected today,0,,
但是，在国家之间，即便是核威慑也比乍看上去更复杂，在网络空间中的威慑更是如此。,在网络空间中的威慑,"But even nuclear deterrence among states is more complex than it first appears, and even more so in cyberspace.",Deterrence in cyberspace,0,,
但接下来的两年中，飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,飓风造成的损失,"But over the next two years, hurricane damage was well below average and almost disappeared in 2006.",Hurricane damage,0,,
不管怎样，在消费逐步减慢的阶段，即使公司富有现金，一般情况下也不会去扩大投资。,消费逐步减慢的阶段,"In any case, during a period of slowing consumer spending, companies typically do not invest more, even if they are flush with cash.",A period of gradual slowdown in consumption,1,,gradual
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,该博客所在的网站,"Although the Cuban government has blocked the website where the blog is located, it has been widely distributed around the world in many languages, as well as on CDS and flash drives within Cuba.",The website where this blog is located,0,,
那时大型企业被认为是威胁，一个原因就是因为这些公司对资产实行垄断，而这些资产对很多美国大众来说是至关重要的。,很多美国大众,One reason large corporations were considered a threat at the time was because they had monopolies on assets that were vital to many ordinary Americans.,Many Americans,1,,ordinary
在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,无条件基本收入的提案,"On June 5th Swiss voters overwhelmingly rejected a proposal to give every citizen an unconditional basic income, by 77% to 23%.",The proposal for an unconditional basic income,0,,
在1991年，美国组建了自二战以来最为强大的国际联合部队，并且在一场完全合法的战争中率领这一部队。,自二战以来最为强大的国际联合部队,"In 1991, the United States assembled the most powerful international coalition force since World War II, and led it in a perfectly legitimate war.",The most powerful international coalition since World War II,0,,
在1968年5月革命过去39年后，法国人渴望的是工作，而不是爱情，这一点萨尔科齐看得比如何人都要清楚。,1968年5月革命,"Thirty-nine years after the May 1968 revolution, the French are hungry for work, not love, as Mr Sarkozy should know to anyone.",The May Revolution of 1968,0,,
顾名思义，与超级大国结盟永远是不平等的，因此，从长期看，与美国建立紧密关系的努力对于印度的战略自主传统不利。,印度的战略自主传统,"Alliances with superpowers are, by definition, always unequal, so efforts to forge close ties with the US are not good for India's tradition of strategic autonomy in the long run.",India's tradition of strategic autonomy,0,,
随着里约+20签署协议的落实，全球社会应当在今后20年为促进地方、全国和国际层面的可持续发展采取更大胆的行动。,地方、全国和国际层面,"With the Rio +20 agreements in place, the global community should take bolder action over the next 20 years to promote sustainable development at the local, national and international levels.","Local, national and international levels",0,,
更先进、价值更高的商品的能力,价值更高的商品,"The ability to make more advanced, higher-value goods",Higher value goods,0,,
这一单位只不过是一个消费者物价指数，名称简单，每天公布，这样人们就可以使用这一单位及名称来以实际价格报价。,实际价格报价,"This unit is nothing more than a consumer price index, simply named, published daily so that people can use the unit and name to quote the actual price.",Actual price offer,0,,
换句话说，在朝鲜，许多在别的国家最普通的国是，在朝鲜都不容他人染指，特别是身上没有金饰血统的人染指。,身上没有金饰血统的人,"In other words, in North Korea, many of the most common countries in the world are not allowed to be touched, especially by people with no gold pedigree.",People who don't have gold in them,1,pedigree,
如果，在欧洲层面的监管只能适用于年景好的时候，而年景糟糕的时候则由各国的纳税人买单，这个系统必定失败。,年景糟糕的时候,"If regulation at the European level applies only in good times and national taxpayers foot the bill in bad times, the system is bound to fail.",When times are bad,0,,
2001年9月11日对纽约和华盛顿的恐怖主义袭击,2001年9月11日,"The terrorist attacks on New York and Washington on September 11, 2001","September 11, 2001",0,,
同样地，如果科技创新现在能在短短的几年或者几个月内改变主要的产业，长期投资就不会像过去那样有意义。,短短的几年或者几个月,"Likewise, if technological innovations can now transform major industries in just a few years or months, long-term investments will not make as much sense as they did in the past.",Just a few years or a few months,0,,
但是，如何从这场总统大选中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,这场总统大选,"But how this presidential election is interpreted in the United States has enormous implications, not just for Americans but for the world.",The presidential election,0,,
但在实践中，这不会发生，因为这些国家缺少能力、经验，最重要的是缺少关于需要做什么、由谁去做的共识。,能力、经验,"But in practice, this will not happen because these countries lack capacity, experience and, above all, consensus on what needs to be done and by whom.",Ability and experience,0,,
"7月份第一批被记录的数字表明，在2015年4月到2016年3月期间，英格兰发生了5,702起新的割礼案件。",2015年4月到2016年3月,"The first figures to be recorded in July suggest 5,702 new cases of circumcision took place in England between April 2015 and March 2016.",From April 2015 to March 2016,0,,
通过她，朋友们更容易彼此接触，或者他们仅仅能够回忆起一些关于她的往事，发现一些克里斯在世时都忽略了的新东西。,一些关于她的往事,"Through her, friends could reach out to each other more easily, or they could just remember something about her and discover something new that they had overlooked while Chris was alive.",Something about her past,1,,past
英国可以凭借自身力量而非作为欧盟的一部分确保进入世界市场的优先地位，这一信念也对英国脱欧投票起到了推动作用。,进入世界市场的优先地位,The Brexit vote was also driven by the belief that Britain could secure priority access to world markets on its own rather than as part of the EU.,Preferential access to world markets,0,,
至少在表面上，无论从27个欧盟国家还是从16个欧元区国家看，都是如此。,27个欧盟国家,"On the surface, at least, this is true whether you look at the 27 European Union countries or the 16 eurozone countries.",27 European Union countries,0,,
而从2005年到2014年，这一数字下降到只有四个百分点。,只有四个百分点,"From 2005 to 2014, that number dropped to just four percent.",Only four percent,0,,
墨西哥最受欢迎的政治信息类电视节目,政治信息类,The most popular political message TV show in Mexico,Political information,0,,
此外，由于石油价格下跌幅度是这一征税额的三倍多，消费者所面临的油价仍将比几个月前低得多。,石油价格下跌幅度,"Moreover, because oil prices have fallen more than three times as much as this levy, consumers will still face much lower prices than they did just a few months ago.",How far the price of oil has fallen,1,,How far
当今世界最紧迫的外交政策问题,外交政策问题,The most pressing foreign policy issue in the world today,Foreign policy issues,0,,
所有的因灾死亡都是一场悲剧，但这一数字没有变得更高这一事实印证了菲律宾在自然灾难准备方面的努力成果。,菲律宾在自然灾难准备方面的努力成果,"All disaster deaths are a tragedy, but the fact that the number has not been higher is a testament to the Philippines' efforts in natural disaster preparedness.",The Philippines' efforts in natural disaster preparedness,0,,
我们不应把这直觉视同金融文盲，因为很多理应精通公共财政的人也深有同感，特别是当经济在2008年崩溃之后。,很多理应精通公共财政的人,"This instinct should not be dismissed as financial illiteracy, since it is shared by many who are supposed to be well-versed in public finance, especially after the economy collapsed in 2008.",Lots of people who are supposed to be well-versed in public finance,0,,
必须为政治游戏制定公认的特殊规则，并要求所有参与者无一例外地遵守，任何胆敢违背的党派都将丧失参与的资格。,公认的特殊规则,Special rules must be established for the political game and required to be observed by all participants without exception. Any party that dares to break them will be disqualified from participating.,Accepted special rules,1,,Accepted
当然，在气候变化问题上的不确定性使得一些行动在现在看来，并且或许是在很长一段时间内，并不可行。,在气候变化问题上的不确定性,"Of course, the uncertainty over climate change makes some actions unfeasible now, and perhaps for a long time.",Uncertainty over climate change,0,,
常常出现这样的情况，即，正是那些追随阴谋论的、在边缘地带挖掘的普通公民，才是报道被主流媒体忽视的新闻的人。,主流媒体忽视的新闻,"It is often the case that it is the ordinary citizens who follow the conspiracy theories, digging in the margins, who are the ones reporting the news that is ignored by the mainstream media.",News ignored by the mainstream media,0,,
如果在一个公开透明的程序中挑选沃尔福威茨的继任者，那么，这一不幸、令人难过的大事件还是可以满意地收场。,一个公开透明的程序,"If Mr Wolfowitz's successor is chosen in an open and transparent process, this unhappy, sad saga can still be concluded satisfactorily.",An open and transparent process,0,,
如果你想了解他们的运作方式，合理的方法是从简单的小型设备着手，而后对其进行系统性分拆直到它不再履行任何功能。,他们的运作方式,"If you want to understand how they work, it makes sense to start with a simple, small device and then systematically dismantle it until it no longer performs any function.",The way they operate,0,,
多年来，所有这些国家的实际利率几乎都显示着同样下滑的趋势，尤其是自2000以来。,所有这些国家的实际利率,"Real interest rates in all these countries have shown almost the same downward trend for years, especially since 2000.",Real interest rates in all of these countries,0,,
在今年8月底，我与美国的其他8位诺贝尔经济学奖获得者一起签署了一封致美国民众的公开信。,美国的其他8位诺贝尔经济学奖,"In late August, I joined eight other Nobel laureates in the United States in signing an open letter to the American people.",America's other eight Nobel laureates in economics,1,,in economics
在1973年，这项税收被废除了，因为人们认识到这对旅游业造成了冲击，而旅游业带来亟需的外汇。,亟需的外汇,"In 1973, the tax was abolished, recognizing the impact on tourism, which brought in much-needed foreign exchange.",Much-needed foreign exchange,0,,
因此，如果去年全球货币供应量增加了5%的话，那么在短暂的延迟之后，世界价格也将随之上升5%。,全球货币供应量,"So if the global money supply had increased by 5% last year, world prices would have risen by 5% after a short delay.",Global money supply,0,,
