S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver james made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",奥利弗·西登在与已经在该行业工作的朋友和家人一起工作后，通过慈善机构Now Teach进入教学领域，并在三月份失去工作后。,奥利弗·詹姆斯在与已经在该行业工作的朋友和家人一起工作后，在三月份失去工作后，通过慈善机构Now Teach进入了教学领域。,1,通过慈善机构Now Teach进入教学领域，并在三月份失去工作后。,在三月份失去工作后，通过慈善机构Now Teach进入了教学领域。
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have children who have moved out to live elsewhere in order to protect relatives at home, staff who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.",我们有工作人员为了保护家里的亲人而搬到别处居住，有取消假期的工作人员，他们因为致力于在这里工作而看不到亲人，他们看到了紧迫性。,我们有孩子为了保护家里的亲人而搬到别处居住，有取消假期的工作人员，他们因为致力于在这里工作而看不到亲人，他们看到了紧迫性。,0,,
"Perez can be anonymous some weekends , but then he can produce these fine drives that come out of nowhere , to be best of the rest or even snatch a podium , which he has done so many times in midfield machinery.","Perez can be anonymous some way, but then he can produce these fine drives that come out of nowhere, to be best of the rest or even snatch a podium, which he has done so many times in midfield machinery.",佩雷斯可以在一些周末默默无闻，但随后他可以制造出这些不知从何而来的精细驱动，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中已经做过很多次了。,佩雷斯可以以某种方式默默无闻，但随后他可以制造出这些不知从何而来的精细驱动力，成为其他人中最好的，甚至抢夺领奖台，他在中场机器中做过很多次。,0,,
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.","New china' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.",新西兰的选举几乎不会改变该国与中国历史的主要进程，尽管一年中有一些具有挑战性的时刻，分析师在周六的民意调查前表示。,分析师在周六的民意调查前表示，尽管今年有一些具有挑战性的时刻，但新中国的选举几乎不会改变该国与中国历史的主要进程。,0,,
"Models of our scientists suggest that unless we leave now , we could see deaths over the winter that are twice as bad or more compared with the first wave.","Models of our members suggest that unless we leave now, we could see deaths over the winter that are twice as bad or more compared with the first wave.",我们科学家的模型表明，除非我们现在离开，否则我们可能会看到冬季的死亡人数是第一波的两倍或更多。,我们成员的模型表明，除非我们现在离开，否则我们可能会看到冬季的死亡人数是第一波的两倍或更多。,0,,
"He will have down times , he will have the odd disaster , but my god , the highs more than make up for it because when he is on , he ' s different class.","He will have down syndrome, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he' s different class.",他会有低迷的时候，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他在时，他有不同的阶级。,他会患唐氏综合症，他会有奇怪的灾难，但我的上帝，高潮足以弥补它，因为当他上场时，他是不同的阶级。,1,低迷,唐氏;上场
"Due to the popularization of English education for the children , Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.","Due to the end of English education for the children, Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.",由于孩子们英语教育的普及，郭认为未来三年他们的英语杂志的订阅人数将大幅增加。,由于孩子们的英语教育结束，郭认为未来三年他们的英语杂志的订阅者数量将大幅增加。,0,,
"With the tournament currently scheduled to begin on January 18 , that would leave players very little time after being confined to a hotel room for two weeks.","With the season currently scheduled to begin on January 18, that would leave players very little time after being confined to a hotel room for two weeks.",由于比赛目前定于1月18日开始，球员们在被限制在酒店房间两周后几乎没有时间。,由于本赛季目前定于1月18日开始，球员们在被限制在酒店房间里两周后几乎没有时间。,0,,
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that area and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,我们非常致力于以这种方式运营，当然这是我们对游客的优势之一，我们正在尽一切努力使旅游业安全可靠。,我们非常致力于在该地区开展业务，当然这是我们对游客的优势之一，我们正在尽一切努力使旅游业安全可靠。,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.","The other barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.",使用快速测试的主要障碍似乎是缺乏关于何时以及如何使用测试的指导，以及对其准确性的担忧。,使用快速检测的其他障碍似乎是缺乏关于何时以及如何使用检测的指导，加上对其准确性的担忧。,0,,
