S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession , and after losing his job in March.","Oliver james made the move into teaching through the charity Now Teach after doing it with friends and family members already working in the profession, and after losing his job in March.",Oliver Seadon是在今年3月失业后，通过慈善机构Now Teach进入教学行业的。此前，他和已经在这一行业工作的朋友和家人一起从事教学工作。,奥利弗·詹姆斯是在今年3月失业后，通过慈善机构Now Teach转行教书的。此前，他和已经在这一行工作的朋友和家人一起从事教学工作。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home , staff who have cancelled holidays , who aren ' t seeing their loved ones because they ' re dedicated to working here and they see the urgency.","We have children who have moved out to live elsewhere in order to protect relatives at home, staff who have cancelled holidays, who aren' t seeing their loved ones because they' re dedicated to working here and they see the urgency.",我们的工作人员搬到其他地方生活，以保护家里的亲戚，工作人员取消了假期，他们看不到亲人，因为他们致力于在这里工作，他们看到了紧迫性。,我们的孩子为了保护家里的亲人而搬到其他地方生活，我们的员工取消了假期，他们看不到他们所爱的人，因为他们致力于在这里工作，他们看到了紧迫性。,0,,
"Perez can be anonymous some weekends , but then he can produce these fine drives that come out of nowhere , to be best of the rest or even snatch a podium , which he has done so many times in midfield machinery.","Perez can be anonymous some way, but then he can produce these fine drives that come out of nowhere, to be best of the rest or even snatch a podium, which he has done so many times in midfield machinery.",佩雷斯可以在某些周末默默无闻，但随后他可以打出这些不知从哪里冒出来的精彩突破，成为其他人中的佼佼者，甚至夺取领奖台，这是他在中场机器中做过很多次的事情。,佩雷斯在某种程度上是默默无闻的，但他可以在任何地方打出出色的突破，成为其他人中的佼佼者，甚至夺取领奖台，这是他在中场机器中做过很多次的事情。,1,不知从哪里冒出来的,在任何地方
"New Zealand ' s election will hardly change the main course of the country ' s history with China despite some challenging moments during the year , analysts said ahead of the poll on Saturday.","New china' s election will hardly change the main course of the country' s history with China despite some challenging moments during the year, analysts said ahead of the poll on Saturday.",分析人士在周六投票前表示，尽管今年出现了一些具有挑战性的时刻，但新西兰的选举几乎不会改变该国与中国历史的主要进程。,分析人士在周六投票前表示，尽管今年出现了一些具有挑战性的时刻，但新中国的选举几乎不会改变该国与中国历史的主要进程。,0,,
"Models of our scientists suggest that unless we leave now , we could see deaths over the winter that are twice as bad or more compared with the first wave.","Models of our members suggest that unless we leave now, we could see deaths over the winter that are twice as bad or more compared with the first wave.",科学家们的模型表明，除非我们现在就离开，否则整个冬季的死亡人数可能是第一波死亡人数的两倍甚至更多。,我们成员的模型表明，除非我们现在离开，否则我们可能会看到冬季死亡人数是第一波死亡人数的两倍甚至更多。,1,,看到
"He will have down times , he will have the odd disaster , but my god , the highs more than make up for it because when he is on , he ' s different class.","He will have down syndrome, he will have the odd disaster, but my god, the highs more than make up for it because when he is on, he' s different class.",他会有低谷的时候，他会有奇怪的灾难，但我的天，他的高潮远远弥补了这些，因为当他上场的时候，他是不同的阶层。,他会有唐氏综合症，他会有奇怪的灾难，但我的天，兴奋会弥补这些，因为当他上场时，他是不同的班级。,1,低谷;阶层,唐氏;班级
"Due to the popularization of English education for the children , Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.","Due to the end of English education for the children, Guo believes that the number of subscribers to their English magazines will rise significantly in the coming three years.",由于儿童英语教育的普及，郭相信他们的英语杂志订阅者的数量将在未来三年大幅上升。,由于孩子们的英语教育结束了，郭相信他们的英语杂志订阅者的数量将在未来三年内大幅上升。,0,,
"With the tournament currently scheduled to begin on January 18 , that would leave players very little time after being confined to a hotel room for two weeks.","With the season currently scheduled to begin on January 18, that would leave players very little time after being confined to a hotel room for two weeks.",由于目前的比赛安排在1月18日开始，在被困在酒店房间两周后，球员们的时间非常有限。,由于新赛季将于1月18日开赛，在被困在酒店房间两周后，球员们几乎没有时间了。,1,,目前的
We are very committed to operating in that way and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,We are very committed to operating in that area and of course that is one of our advantages to tourists that we are doing everything to make tourism safe and secure.,我们非常致力于以这种方式运营，当然，这是我们对游客的优势之一，我们正在尽一切努力确保旅游业的安全。,我们非常致力于在该地区运营，当然，这是我们对游客的优势之一，我们正在尽一切努力确保旅游业的安全。,0,,
"The major barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests , coupled with concerns about their accuracy.","The other barriers to the use of rapid testing seem to be a lack of guidance on when and how to use the tests, coupled with concerns about their accuracy.",使用快速检测的主要障碍似乎是缺乏关于何时以及如何使用检测的指导，再加上对其准确性的担忧。,使用快速检测的另一个障碍似乎是缺乏关于何时以及如何使用检测的指导，再加上对其准确性的担忧。,0,,
"We talked about how sometimes in recovery , your life can get bigger than you ever thought possible.","We talked about how sometimes in life, your life can get bigger than you ever thought possible.",我们讨论过，有时候在恢复期，你的生活可能会比你想象的更精彩。,我们讨论过，在生活中，你的生活有时会比你想象的要大。,1,精彩,大
We have always been clear that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,We have always been aware that we keep these measures under constant review so they do not have to be in place for any longer than is necessary.,我们一直清楚地表明，我们会不断审查这些措施，因此这些措施的实施时间不会超过必要的时间。,我们一直意识到，我们一直在不断审查这些措施，因此它们的实施时间不必超过必要的时间。,0,,
There were times I could just hear the echo of my footsteps out there because I was running completely alone.,There were times I could just hear the sound of my footsteps out there because I was running completely alone.,有时我只能听到我的脚步声的回声，因为我完全是一个人在跑。,有时我能听到自己的脚步声，因为我是一个人在跑。,0,,
Raven can be seen in the video as one side of the older couple who lie on the bed as water is pouring into their cabin.,Raven can be seen in the movie as one side of the older couple who lie on the bed as water is pouring into their cabin.,在视频中，可以看到乌鸦躺在这对老夫妇的一边，水正在涌入他们的小屋。,在电影中，可以看到乌鸦躺在那对老夫妇的一边，水正涌进他们的小屋。,0,,
President Trump says he feels good after testing positive for hiv weeks ago and couldn ' t recall whether he was tested on the day of the first presidential debate.,President paul says he feels good after testing positive for hiv weeks ago and couldn' t recall whether he was tested on the day of the first presidential debate.,特朗普总统表示，几周前他的艾滋病毒检测呈阳性，他感觉良好，不记得自己是否在第一次总统辩论当天进行了检测。,保罗总统说，几个星期前他的艾滋病毒检测呈阳性，现在感觉很好，他不记得自己是否在第一次总统辩论那天进行了检测。,1,,现在
"In the end , the locals agree to work with her in growing tea and selling the products on e - commerce platforms , which leads the village out of poverty.","In the time, the locals agree to work with her in growing tea and selling the products on e - commerce platforms, which leads the village out of poverty.",最后，当地人同意和她一起种植茶叶，并在电子商务平台上销售产品，这使村庄摆脱了贫困。,在此期间，当地人同意与她合作种植茶叶，并在电子商务平台上销售产品，这使村庄摆脱了贫困。,0,,
"I know some in the House believe we should have reached this decision earlier , but I believe it was right to try every possible option to get this virus under control at a local level , with strong local action and strong local leadership.","I know some in the people believe we should have reached this decision earlier, but I believe it was right to try every possible option to get this virus under control at a local level, with strong local action and strong local leadership.",我知道，众议院中有些人认为，我们本应更早作出这一决定，但我认为，通过强有力的地方行动和地方领导，尝试一切可能的选择，在地方一级控制住这种病毒是正确的。,我知道有些人认为我们应该更早做出这一决定，但我认为，通过强有力的地方行动和强有力的地方领导，尝试一切可能的选择，在地方一级控制住这一病毒是正确的。,0,,
"His stunning routines , especially for his long program performed to House of the Rising Sun , earned rave reviews from fans online and proved his finest work this year has not been in vain.","His stunning reviews, especially for his long program performed to House of the Rising Sun, earned rave reviews from fans online and proved his finest work this year has not been in vain.",他令人惊叹的表演，尤其是他在《太阳之家》中的长节目，在网上赢得了粉丝们的好评，证明他今年最好的作品没有白费。,他令人震惊的评论，尤其是他在《太阳之家》的长节目表演，在网上赢得了粉丝们的好评，证明他今年最好的作品没有白费。,1,,表演
He thinks the pandemic has been a shot of adrenaline for a technology that to date had not yet really arrived.,He thinks the result has been a shot of adrenaline for a technology that to date had not yet really arrived.,他认为，对于迄今为止尚未真正实现的技术来说，大流行是一剂肾上腺素。,他认为，这一结果为迄今为止尚未真正实现的技术注入了一剂肾上腺素。,0,,
Fiscal policy has always responded to large shocks but there is now a crisis about whether the threshold for intervention should be lowered.,Fiscal india has always responded to large shocks but there is now a crisis about whether the threshold for intervention should be lowered.,财政政策总是对重大冲击做出反应，但现在出现了一场关于是否应该降低干预门槛的危机。,印度的财政状况一直在应对重大冲击，但现在出现了一场关于是否应该降低干预门槛的危机。,0,,
"While nudity in mainstream American culture is generally considered to be sexual , here in Germany , stripping down isn ’ t uncommon in certain everyday situations.","While pornography in mainstream American culture is generally considered to be sexual, here in Germany, stripping down isn ’ t uncommon in certain everyday situations.",在美国主流文化中，裸体通常被认为是性感的，而在德国，脱光衣服在某些日常情况下并不罕见。,在美国主流文化中，色情作品通常被认为与性有关，而在德国，脱光衣服在某些日常情况下并不罕见。,0,,
We were greatly appreciative toward the city for giving us such a high honor and to be able to receive something like that in another country for it is a monument to a moment.,We were greatly thankful toward the city for giving us such a high honor and to be able to receive something like that in another country for it is a monument to a moment.,我们非常感谢这座城市给予我们如此高的荣誉，能够在另一个国家接受这样的待遇，因为这是一个时刻的纪念碑。,我们非常感谢这座城市给予我们如此高的荣誉，并能够在另一个国家接受这样的待遇，因为这是一个时刻的纪念碑。,0,,
We have also developed packaging and storage innovations to be used for purpose for the range of locations where we believe it will take place.,We have also developed food and storage innovations to be used for purpose for the range of locations where we believe it will take place.,我们还开发了包装和存储创新，用于我们认为将发生的一系列地点。,我们还开发了食品和存储创新，用于我们认为将发生的一系列地点。,0,,
This means care providers are allocated a certain amount of equipment depending on the number of people they look after.,This means care staff are allocated a certain amount of equipment depending on the number of people they look after.,这意味着护理人员根据他们照顾的人数分配一定数量的设备。,这意味着护理人员根据他们照顾的人数分配一定数量的设备。,0,,
