S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,"These farmers are not sure if they will be able to control the farm next season, so they don't plan long-term.",These farmers are not sure if they will be able to control their farms next season and therefore do not plan long-term.,0,,
虽然决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,"Although decisions are submitted to the board of directors for signature and approval, key decisions have already been made by then.","While all decisions go to the board of directors for sign-off, by then key decisions have already been made.",1,approval,
而另一方面，骗税则涉及到伪造文件，因而就牵涉到犯罪行为。,而另一方面，骗税则涉及到伪造文件，因而就牵涉到更多的犯罪行为。,"Tax fraud, on the other hand, involves falsification of documents and thus criminality.","Tax fraud, on the other hand, involves falsification of documents and thus more crimes.",0,,
而且无论有没有空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And with or without the cooperation of the air force, the entire Syrian population will fully resist the Islamic State.","And with or without the cooperation of Assad's air force, the entire Syrian people will fully resist the Islamic State.",0,,
在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,"They advocated the overthrow of Saddam Hussein before Bush took office, and they brought Bush into their cause after 9/11.","They preached the overthrow of Saddam Hussein even before Bush took office, and after 9/11 pulled Bush into their cause.",0,,
拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,Lagarde recognized and acted on three of the most important challenges facing the world today.,"Furthermore, Lagarde recognized and acted on three of the most important challenges facing the world today.",0,,
这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,This does not mean that the single market cannot function in the presence of border controls or multiple currencies.,"Of course, this does not mean that the single market cannot function in the presence of border controls or multiple currencies.",0,,
尽管津巴布韦政府当局声称惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,"While Zimbabwean authorities claim the tragedy is over, the morality of the Malang diamond has raised further questions.","While Zimbabwean authorities claim the human rights abuses are over, the morality of the Malang diamond has raised further questions.",0,,
如果专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,"If experts have other purposes or serve special interest groups, it is unlikely to obtain satisfactory results for the public.","If it is determined that experts have other purposes or serve special interest groups, it is unlikely to achieve satisfactory results for the public.",0,,
那些尚未获得永久居留权或公民权的人就应该回国。,如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,Those who have not yet obtained permanent residency or citizenship should return home.,Those who have not yet obtained permanent residency or citizenship should return home if it is safe to do so.,0,,
如果冒着过度概括的风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,"At the risk of overgeneralizing, we can say that the first camp is mainly composed of northern Europeans, while the second camp is dominated by southern Europeans.","At the slight risk of overgeneralizing, we can say that the first camp consists mainly of northern Europeans, while the second camp is dominated by southern Europeans.",0,,
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以希望。,如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,"If he is to reassure EU leaders that they should reappoint him, he will need to show that his second term offers hope.","If he is to reassure EU leaders that they should reappoint him, he will need to show that his second term offers renewed hope.",0,,
总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,"The annual economic growth rate under President Enrique Pe?a Nieto is only 2%, which is abnormal, and the economy cannot expand faster without increasing foreign investment.","Mexican President Enrique Pe?a Nieto's annual economic growth rate of only 2 percent is anomalous, and the economy cannot expand faster without increased foreign investment.",0,,
在俄罗斯法律的表面隐藏的同样专横的暴君统治。,在俄罗斯法律和民主制度的表面隐藏的同样专横的暴君统治。,An equally imperious tyrant hides beneath the surface of Russian law.,The same high-handed tyranny lurks beneath the surface of Russian law and democracy.,0,,
南非企业不能坐等政客为此做些什么，而应该加强深入人口细分。,南非企业不能坐等政客为此做些什么，而应该加强深入更加广泛的人口细分。,"Instead of waiting for politicians to do something about it, South African businesses should step up and drill down into demographic segmentation.","Instead of waiting for politicians to do something about it, South African businesses should step up their efforts to reach a wider segment of the population.",0,,
军人统治集团一面在残酷地对待民众，一面却在对世界隐瞒它的暴行。,军人统治集团一面在残酷地对待缅甸的民众，一面却在对世界隐瞒它的暴行。,"While brutalizing the people, the junta hides its atrocities from the world.","While brutalizing the people of Burma, the junta is hiding its atrocities from the world.",0,,
德国计划仿效其他国家的做法，实行法定最低工资。,例如，德国计划仿效其他国家的做法，实行法定最低工资。,Germany plans to follow the example of other countries and introduce a legal minimum wage.,"Germany, for example, plans to follow the example of other countries and introduce a legal minimum wage.",0,,
最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,There have also been some recent positive developments in the creation of some strong public institutions.,But there have also been some positive developments of late in the creation of some strong public institutions.,0,,
