S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季才能控制自己的农场，因此不会进行长期规划。,These farmers are not sure if they will be able to control their farms next season and therefore do not plan long-term.,These farmers are not sure if they will be able to control their farms next season and therefore do not plan long-term.,0,,
虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就制定完毕了。,虽然所有决策都会呈交董事会签字批准，但那时候关键决策早就拟定完毕了。,"While all decisions go to the board of directors for sign-off, by then key decisions have already been made.","While all decisions go to the board of directors for sign-off, by then the key decisions have already been drawn up.",0,,
而另一方面，骗税则涉及到伪造文件，因而就牵涉到更多的犯罪行为。,而另一方面，骗税也涉及到伪造文件，因而就牵涉到更多的犯罪行为。,"Tax fraud, on the other hand, involves falsification of documents and thus more crimes.","On the other hand, tax fraud also involves falsification of documents and thus involves more crimes.",0,,
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,并且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,"And with or without the cooperation of Assad's air force, the entire Syrian people will fully resist the Islamic State.","And with or without the cooperation of Assad's air force, the entire Syrian people will fully resist the Islamic State.",0,,
纳亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,雷亚尔认为人们早就知道反应堆的设计存在根本缺陷，尽管只有日本当局能够证实。,"Nayar believes that fundamental flaws in the reactor's design have long been known, although only Japanese authorities have been able to confirm that.","Real believes the reactor's design has long been known to be fundamentally flawed, although only Japanese authorities have been able to confirm it.",0,,
甚至在布什就职之前，他们就鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,甚至在布什就职之前，他们也鼓吹推翻萨达姆·侯赛因，911之后又把布什拉进了自己的事业。,"They preached the overthrow of Saddam Hussein even before Bush took office, and after 9/11 pulled Bush into their cause.","Even before Bush took office, they advocated the overthrow of Saddam Hussein, and after 9/11 they brought Bush into their cause.",0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,此外，拉加德认识到当今世界面临着四大最重要的挑战，并针对它们展开行动。,"Furthermore, Lagarde recognized and acted on three of the most important challenges facing the world today.","Furthermore, Lagarde recognized and acted on four of the most important challenges facing the world today.",0,,
当然，这并不意味着单一市场不能在存在边境控制或多货币的情况下运转。,当然，这并不意味着单一市场只能在存在边境控制或多货币的情况下运转。,"Of course, this does not mean that the single market cannot function in the presence of border controls or multiple currencies.","Of course, this does not mean that the single market can only function in the presence of border controls or multiple currencies.",0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题也引起了人们进一步的质疑。,"While Zimbabwean authorities claim the human rights abuses are over, the morality of the Malang diamond has raised further questions.","The morality of the Malang diamond has raised further questions, despite claims by Zimbabwean authorities that the human rights abuses are over.",0,,
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,如果认定专家另有目的或服务于特殊利益集团则不太可能取得民众满意的结果。,"If it is determined that experts have other purposes or serve special interest groups, it is unlikely to achieve satisfactory results for the public.","If experts are identified as having other purposes or serving special interest groups, it is unlikely to achieve satisfactory results for the public.",0,,
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,如果回国已经安全，那些还未获得永久居留权或公民权的人就应该回国。,Those who have not yet obtained permanent residency or citizenship should return home if it is safe to do so.,Those who have not yet obtained permanent residency or citizenship should return home if it is safe to do so.,0,,
如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是东欧人做主角。,"At the slight risk of overgeneralizing, we can say that the first camp consists mainly of northern Europeans, while the second camp is dominated by southern Europeans.","At the slight risk of overgeneralizing, we can say that the first camp consists mainly of Nordic people, while the second camp is dominated by Eastern Europeans.",0,,
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他还需要表明他的第二个任期会给人以新的希望。,"If he is to reassure EU leaders that they should reappoint him, he will need to show that his second term offers renewed hope.",He will also need to show that his second term offers renewed hope if he is to reassure EU leaders that they should reappoint him.,0,,
墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有3％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,"Mexican President Enrique Pe?a Nieto's annual economic growth rate of only 2 percent is anomalous, and the economy cannot expand faster without increased foreign investment.","Under President Enrique Pe?a Nieto, the Mexican economy grew at an anomalous 3 percent a year, and the economy couldn't expand faster without increasing foreign investment.",1,only,
在俄罗斯法律和民主制度的表面隐藏的同样专横的暴君统治。,在俄罗斯法律和民主制度的表面隐藏的同样蛮横的暴君统治。,The same high-handed tyranny lurks beneath the surface of Russian law and democracy.,The same brutal tyranny hides under the surface of Russian law and democracy.,0,,
