S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March.,The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since mid-March as compared with the early days of the COVID-19 program.,自 3 月中旬以来，入住湖区酒吧和餐馆的游客人数也显着增加。,与 COVID-19 计划实施初期相比，自 3 月中旬以来，入住湖区酒吧和餐馆的游客人数也显着增加。,0,,
"Every time the virus passes between animals it changes, and if it changes too much from the one that is circulating within animals at the moment, any vaccine or treatment that will be produced soon might not work as well as it should do.","Every time the virus passes between animals it changes, and if it changes too much from the one that is circulating within animals at the moment, that might mean that any vaccine or treatment that will be produced soon might not work as well as it should do.",每次病毒在动物之间传播时，它都会发生变化，如果它与目前在动物体内传播的病毒发生太大变化，任何即将生产的疫苗或治疗方法都可能无法发挥应有的作用。,每次病毒在动物之间传播时，它都会发生变化，如果它与目前在动物体内传播的病毒发生太大变化，这可能意味着即将生产的任何疫苗或治疗方法可能无法发挥应有的作用.,0,,
So if you detect it early this is a really treatable disease and it's why I wanted to take you along my journey.,So if you detect it early this is a really treatable disease and it's why I wanted to take you along my journey so we can all learn together how to help and protect the men in our lives.,所以如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你一起去我的旅程。,所以如果你及早发现它，这是一种真正可以治疗的疾病，这就是为什么我想带你一起去我的旅程，这样我们就可以一起学习如何帮助和保护我们生活中的男人。,0,,
"In this final scene we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife, but are intent on preserving their physical health, and looks, even as they light the candle.","In this final scene we are given a snapshot of the mindset of Chinese in their 20s who are in love with nightlife, but are intent on preserving their physical health, and looks, even as they light the candle at both ends.",在这最后一幕中，我们看到了 20 多岁的中国人的心态快照，他们热爱夜生活，但即使在点燃蜡烛时也一心要保持身体健康和容貌。,在这最后一幕中，我们看到了 20 多岁的中国人的心态快照，他们热爱夜生活，但一心想要保持身体健康和容貌，即使他们点燃了两端的蜡烛。,0,,
Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members while working in the profession.,"Oliver Seadon made the move into teaching through the charity Now Teach after doing it with friends and family members while working in the profession, and after losing his father in March.",奥利弗·西顿在从事该行业工作期间与朋友和家人一起从事教学工作后，通过慈善机构 Now Teach 转向教学。,奥利弗·西顿在从事该行业时与朋友和家人一起从事教学工作，并在 3 月失去父亲后，通过慈善机构 Now Teach 转向教学。,0,,
"While the number of deaths recorded is higher than previous days, there is often an increase at the beginning of the week.","While the number of deaths recorded is higher than previous days, there is often an increase at the beginning of the week due to delays in weekend reporting.",虽然记录的死亡人数高于前几天，但通常在本周初有所增加。,虽然记录的死亡人数高于前几天，但由于周末报告的延迟，在本周初通常会有所增加。,0,,
"While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art.","While some people at her age have been left behind by modern technologies, Chen has beaten the odds to enter the world of contemporary art and become a docent at UCCA that students often request by name.",虽然在她这个年纪的一些人已经被现代技术抛在了后面，但陈却克服了进入当代艺术世界的困难。,虽然在她这个年纪的一些人已经被现代技术抛在了后面，但陈却克服了困难进入了当代艺术世界，并成为了学生们经常点名要求的 UCCA 的一名导览员。,0,,
"When she was working as a model at a refrigeration plant after high school in Beijing in 1987, she would one day become obsessed with dancing.","When she was working as a model at a refrigeration plant after high school in Beijing in 1987, chen had imagined that she would one day become obsessed with dancing.",1987 年高中毕业后，她在北京的一家制冷厂做模特，有一天她迷上了跳舞。,1987 年高中毕业后在北京的一家制冷厂做模特时，陈曾幻想自己有一天会迷上舞蹈。,0,,
"We have staff who have moved out to live elsewhere in order to protect relatives at home, and who have cancelled holidays, who aren't seeing their loved ones because they're used to working here.","We have staff who have moved out to live elsewhere in order to protect relatives at home, and who have cancelled holidays, who aren't seeing their loved ones because they're used to working here and they see the urgency.",我们有一些员工为了保护家里的亲人而搬到别处居住，还有一些员工取消了假期，他们因为习惯了在这里工作而看不到他们所爱的人。,我们有一些员工为了保护家里的亲人而搬到别处居住，还有一些员工取消了假期，他们没有看到他们的亲人，因为他们已经习惯了在这里工作，他们看到了紧迫感。,0,,
"Success will depend on reassuring them that they can afford these new technologies, that they will deliver their own needs, and critically that they can recharge.","Success will depend on reassuring them that they can afford these new technologies, that they will deliver their own needs, and critically that they can recharge as easily as they want.",成功将取决于让他们相信他们能够负担得起这些新技术，他们将满足自己的需求，而且至关重要的是，他们可以充电。,成功将取决于让他们放心，他们能够负担得起这些新技术，他们将满足自己的需求，而且至关重要的是，他们可以随心所欲地轻松充电。,0,,
