S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
这些农民不确定自己是否能够在下一季还能控制自己的农场，因此不会进行长期规划。,这些农民不确定自己是否能够在下一季还能控制自己的钱，因此不会进行长期规划。,These farmers are not sure if they will be able to control their farms next season and therefore do not plan long-term.,These farmers are not sure if they will be able to control their money next season and therefore do not plan long term.,0,,
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,如果回国已经安全，那些尚未获得永久居留权或税的人就应该回国。,Those who have not yet obtained permanent residency or citizenship should return home if it is safe to do so.,Those who have not yet obtained permanent residency or taxes should return home if it is safe to return home.,0,,
例如，德国计划仿效其他国家的做法，实行法定最低工资。,例如，德国计划仿效其他国家的做法，实行法定税。,"Germany, for example, plans to follow the example of other countries and introduce a legal minimum wage.","For example, Germany plans to follow the example of other countries and introduce statutory taxes.",0,,
但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,但最近也取得了一些正面发展，那就是建立了一些强大的公共网。,But there have also been some positive developments of late in the creation of some strong public institutions.,"But there have been some positive developments recently, and that's the establishment of some strong public networks.",1,also,
但是，在大多数情况下，他们甚至根本就不考虑这一可能性。,但是，在大多数情况下，他们甚至根本就不考虑这一点。,"However, in most cases, they don't even consider this possibility at all.","However, in most cases, they don't even think about that at all.",0,,
但接下来的两年中，飓风造成的损失远低于平均情况，几乎在2006年彻底消失。,但接下来的两年中，飓风造成的灾远低于平均情况，几乎在2006年彻底消失。,"But in the next two years, the damage from hurricanes was far below average, and it almost disappeared completely in 2006.","But in the next two years, the damage caused by the hurricane was far below average, and it almost disappeared completely in 2006.",1,damage,damage;caused
虽然古巴政府已封堵了该博客所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,虽然古巴政府已封堵了该歌所在的网站，但它还是以多种语言在全世界广泛传播，在古巴国内也以光盘和闪存为传播途径。,"Although the Cuban government has blocked the website where the blog is located, it is still widely disseminated in multiple languages around the world, and it is also disseminated in Cuba via CD-ROM and flash memory.","Although the Cuban government has blocked the website where the song is located, it is still widely disseminated in multiple languages around the world, and it is also disseminated in CD-ROM and flash memory in Cuba.",0,,
在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本收入的提案。,在6月5日，瑞士选民以77％比23％的压倒性多数否决了向每个公民发放无条件基本法的提案。,"On June 5, Swiss voters overwhelmingly rejected a proposal to issue an unconditional basic income to every citizen, 77% to 23%.","On June 5, Swiss voters overwhelmingly rejected a proposal to issue an unconditional basic law to every citizen, 77% to 23%.",0,,
但是，如何从这场总统大选中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,但是，如何从这场戏中来解读美国，不仅对美国人，对全世界来说，意义都颇为重大。,"However, how to interpret the United States from this presidential election is of great significance not only to Americans, but also to the whole world.","However, how to interpret the United States from this scene is of great significance not only to Americans, but also to the whole world.",0,,
正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的外交政策问题。,正如法国近期对马里的干预所显示的，这一模糊性的根源在于当今世界最紧迫的核问题。,"As France's recent intervention in Mali shows, this ambiguity has its roots in the most pressing foreign policy issues in the world today.","As France's recent intervention in Mali shows, this ambiguity has its roots in the most pressing nuclear issue in the world today.",0,,
