S_s,S_f,T_s,T_f,Violation,Fine-grained Violations in T_s,Fine-grained Violations in T_f
而且无论有没有阿萨德的空军配合，全体叙利亚民众都将全力抵抗伊斯兰国。,全体叙利亚民众,"And with or without the cooperation of Assad's air force, the entire Syrian people will fully resist the Islamic State.",all syrian people,0,,
此外，拉加德认识到当今世界面临着三大最重要的挑战，并针对它们展开行动。,三大最重要的挑战,"Furthermore, Lagarde recognized and acted on three of the most important challenges facing the world today.",The three most important challenges,0,,
尽管津巴布韦政府当局声称这一侵犯人权的惨案已经终结，但马朗钻石所蕴含的道德问题却引起了人们进一步的质疑。,津巴布韦政府当局,"While Zimbabwean authorities claim the human rights abuses are over, the morality of the Malang diamond has raised further questions.",Government of Zimbabwe,0,,
如果认定专家另有目的或服务于特殊利益集团则不太可能获得民众满意的结果。,民众满意的结果,"If it is determined that experts have other purposes or serve special interest groups, it is unlikely to achieve satisfactory results for the public.",public satisfaction,1,results,
如果回国已经安全，那些尚未获得永久居留权或公民权的人就应该回国。,永久居留权或公民权,Those who have not yet obtained permanent residency or citizenship should return home if it is safe to do so.,permanent residency or citizenship,0,,
如果冒着过度概括的微小风险的话，我们可以说第一个阵营主要由北欧人组成，而第二个阵营则是南欧人做主角。,过度概括的微小风险,"At the slight risk of overgeneralizing, we can say that the first camp consists mainly of northern Europeans, while the second camp is dominated by southern Europeans.",Minor risk of overgeneralization,0,,
如果他要向欧盟各国领导人保证他们应该重新任命他的话，那么他就需要表明他的第二个任期会给人以新的希望。,欧盟各国领导人,"If he is to reassure EU leaders that they should reappoint him, he will need to show that his second term offers renewed hope.",EU leaders,0,,
墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率只有2％，这可是不正常的，如果没法增加外国投资，经济也不能更快地扩张。,墨西哥总统恩里克·佩尼亚·尼托治下的年经济增长率,"Mexican President Enrique Pe?a Nieto's annual economic growth rate of only 2 percent is anomalous, and the economy cannot expand faster without increased foreign investment.",Annual economic growth rate under Mexican President Enrique Pe?a Nieto,0,,
俄罗斯法律和民主制度,法律和民主制度,Russian law and democracy,law and democracy,0,,
例如，德国计划仿效其他国家的做法，实行法定最低工资。,法定最低工资,"Germany, for example, plans to follow the example of other countries and introduce a legal minimum wage.",legal minimum wage,0,,
但最近也取得了一些正面发展，那就是建立了一些强大的公共机构。,一些正面发展,But there have also been some positive developments of late in the creation of some strong public institutions.,some positive developments,0,,
但是，最后事实会证明，这样的转移是加快复苏的最直接的办法。,加快复苏的最直接的办法,"But, in the end, such a transfer will prove to be the most direct way to speed up the recovery.",The most immediate way to speed up recovery,0,,
